method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,candidate_peak_count,component_count,candidate_local_segments,remaining_ransac_points,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,Baseline,0,5,5,0,0.530114301666535,0.44986324597320365,0.7217125382262997,0.3333333333333333,1.0,1,3,0.4687499999979074,0.3052325581386476,0.36971830938017014,0.2267818574509141,0.9781494140624403,105,119,239,15921,0.4687499999979074,0.3052325581386476,0.36971830938017014,0.9781494140624403,0.2267818574509141,702,344,8,5,,,,,,,,,,False
hough_transform_on_shared_skeleton,Hough Transform,0,5,5,0,0.8359894763582149,0.91602826210762,0.9938837920489296,0.5,1.0,1,2,0.9496855345882086,0.877906976741634,0.9123867064466553,0.8388888888865587,0.9964599609374392,302,16,42,16024,0.9496855345882086,0.877906976741634,0.9123867064466553,0.9964599609374392,0.8388888888865587,702,344,0,0,1462.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,0,5,8,3,0.5367998955195655,0.6598441443078351,0.8868501529051988,0.0,0.625,1,0,0.7413793103422711,0.6249999999981831,0.6782334379872921,0.5131264916455535,0.9875488281249397,215,75,129,15965,0.7413793103422711,0.6249999999981831,0.6782334379872921,0.9875488281249397,0.5131264916455535,702,344,0,0,,3.0,,,,,,,,False
thinning_skeletonisation_graph_tracing_on_shared_skeleton,Thinning / skeletonisation,0,5,5,0,0.5376174475629691,0.463818588875915,0.72782874617737,0.3333333333333333,1.0,1,3,0.4687499999979074,0.3052325581386476,0.36971830938017014,0.2267818574509141,0.9781494140624403,105,119,239,15921,0.4687499999979074,0.3052325581386476,0.36971830938017014,0.9781494140624403,0.2267818574509141,702,344,8,5,,,,,228.0,9.0,2.0,75.0,30.0,False
run_graph_vectorisation_on_shared_skeleton,Run-graph vectorisation,0,5,6,1,0.5349298320163539,0.5755831129415406,0.8379204892966361,0.1,0.8333333333333334,1,4,0.5447761194009524,0.42441860464992903,0.4771241825126875,0.3133047210293706,0.9804687499999402,146,122,198,15918,0.5447761194009524,0.42441860464992903,0.4771241825126875,0.9804687499999402,0.3133047210293706,702,344,9,6,,,,,,,,,,False
sparse_pixel_ransac_vectorisation_on_shared_skeleton,Sparse-pixel RANSAC,0,5,5,0,0.8359894763582149,0.91602826210762,0.9938837920489296,0.5,1.0,1,2,0.9496855345882086,0.877906976741634,0.9123867064466553,0.8388888888865587,0.9964599609374392,302,16,42,16024,0.9496855345882086,0.877906976741634,0.9123867064466553,0.9964599609374392,0.8388888888865587,702,344,0,0,,,,0.0,,,,,,False
mesh_pattern_local_vectorisation_on_shared_skeleton,Mesh-pattern local,0,5,7,2,0.46778348341663173,0.5627458798511431,0.7155963302752293,0.0,0.7142857142857143,1,0,0.979591836729696,0.5581395348820984,0.7111111106460356,0.5517241379294491,0.9904785156249395,192,4,152,16036,0.979591836729696,0.5581395348820984,0.7111111106460356,0.9904785156249395,0.5517241379294491,702,344,0,0,,,25.0,,,,,,,False
baseline_on_shared_skeleton,Baseline,1,10,11,1,0.5067195951942874,0.5263025451351945,0.7948717948717949,0.08,0.9090909090909091,3,5,0.5907692307674131,0.4948453608234669,0.5385694244673298,0.36852207293595296,0.9799194335936902,192,133,196,15863,0.5907692307674131,0.4948453608234669,0.5385694244673298,0.9799194335936902,0.36852207293595296,944,388,17,13,,,,,,,,,,False
hough_transform_on_shared_skeleton,Hough Transform,1,10,9,1,0.786852182245479,0.7492856057151543,0.965034965034965,0.6666666666666666,0.9,3,2,0.8959390862921424,0.9097938144306449,0.9028132987304569,0.8228438228419048,0.9953613281249393,353,41,35,15955,0.8959390862921424,0.9097938144306449,0.9028132987304569,0.9953613281249393,0.8228438228419048,944,388,0,0,2725.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,1,10,11,1,0.4228597827161439,0.44447991082738003,0.6596736596736597,0.0,0.9090909090909091,3,1,0.4816176470570529,0.33762886597851127,0.3969696964839394,0.24763705103922942,0.9757080078124404,131,141,257,15855,0.4816176470570529,0.33762886597851127,0.3969696964839394,0.9757080078124404,0.24763705103922942,944,388,0,0,,4.0,,,,,,,,False
