sample,method,Method,preprocess_method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
0,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.5172131147540984,0.0,0.8360655737704918,1.0,1.0,0,0,9,35,125,16215,0.2045454545408058,0.06716417910397639,0.10112359513230652,0.9902343749999395,0.05325443786950737
0,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.4483606557377049,0.0,0.4918032786885246,1.0,1.0,0,0,0,25,134,16225,0.0,0.0,0.0,0.9902954101561895,0.0
1,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,5,1,0.2899858125801522,0.049052721484587294,0.9395604395604396,0.0,0.8,0,2,36,127,384,15837,0.22085889570416653,0.08571428571408163,0.1234991419638058,0.9688110351561908,0.06581352833625995
1,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,5,1,0.35282608695652173,0.16666666666666666,0.9891304347826086,0.0,0.8,0,1,11,158,409,15806,0.06508875739606457,0.02619047619041383,0.03735144271461227,0.965393066406191,0.019031141868479186
2,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.6484996011168728,0.23927536231884056,0.9541284403669725,1.0,1.0,0,0,2,102,210,16070,0.019230769230584317,0.009433962264106444,0.01265822740642527,0.98095703124994,0.006369426751572072
2,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.6807798165137614,0.43333333333333335,0.6788990825688073,1.0,1.0,0,0,1,72,211,16100,0.013698630136798649,0.004716981132053222,0.007017543478534954,0.98272705078119,0.0035211267605509823
3,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.5392611736089997,0.06309246309246307,0.8043478260869565,1.0,1.0,0,0,15,75,193,16101,0.1666666666648148,0.07211538461503791,0.10067114051731905,0.9836425781249399,0.0530035335687173
3,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.5210131446094013,0.10822021116138762,0.6115702479338843,1.0,1.0,0,0,0,116,208,16060,0.0,0.0,0.0,0.9802246093749402,0.0
4,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.9576271186440678,0.92090395480226,0.9661016949152542,1.0,1.0,0,0,38,3,181,16162,0.9268292682700774,0.17351598173436752,0.2923076920397929,0.9887695312499396,0.17117117117040015
4,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.5127118644067796,0.0,0.8135593220338984,1.0,1.0,0,0,11,32,208,16133,0.255813953482423,0.05022831050205375,0.08396946537384185,0.9853515624999398,0.04382470119504452
5,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,2,1,0.5910127681307457,0.4269696969696969,0.4943820224719101,1.0,0.5,0,0,0,90,141,16153,0.0,0.0,0.0,0.9859008789061898,0.0
5,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.48636363636363633,0.0,0.6818181818181819,1.0,1.0,0,0,5,22,136,16221,0.18518518517832647,0.03546099290754993,0.059523809253330506,0.9903564453124395,0.030674846625578685
6,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.23597078402366864,0.08125,0.4970414201183432,0.0,1.0,0,1,2,82,290,16010,0.02380952380924036,0.006849315068469694,0.010638297525294263,0.9772949218749403,0.005347593582873403
6,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.35970962137125095,0.1852850231655674,0.8816568047337279,0.0,1.0,0,1,0,138,292,15954,0.0,0.0,0.0,0.9737548828124405,0.0
7,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.3266071428571429,0.075,0.9642857142857143,0.0,1.0,0,1,0,109,334,15941,0.0,0.0,0.0,0.9729614257811906,0.0
7,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.29875000000000007,0.04166666666666667,0.9,0.0,1.0,0,1,0,116,334,15934,0.0,0.0,0.0,0.9725341796874406,0.0
8,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.31394554455445545,0.13,0.7772277227722773,0.0,1.0,0,1,0,192,486,15706,0.0,0.0,0.0,0.9586181640624415,0.0
