model,epoch,loss,conf_loss,coord_loss,preprocess_method,preprocess_display
cnn_direct_vector_regression__distance_transform,1,0.34385892114740735,0.13742656831411607,0.020643235085175394,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,2,0.2346402752272626,0.08757240769076854,0.014706786662498687,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,3,0.19688605025727698,0.07261137997216367,0.012427467080031304,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,4,0.16734806622596496,0.05960104788871522,0.01077470191298647,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,5,0.1418562743892061,0.04861902651634622,0.009323724803138287,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,6,0.12344483777563622,0.041561323753062714,0.008188351443869637,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,7,0.10530578820629323,0.03415926205033951,0.007114652564075399,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,8,0.08960457162020054,0.028121783972737638,0.006148278792487814,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,9,0.07758568797973876,0.023046092070797657,0.005453959582967961,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,10,0.06898852025574827,0.020929794461327665,0.004805872593312822,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,11,0.05960854610547106,0.017300595251962224,0.004230795096249339,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,12,0.05526415805550332,0.015911449876395947,0.003935270843670723,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,13,0.05006940417150234,0.014116701709621765,0.0035952702560957442,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,14,0.04306360072595008,0.01123484368733269,0.0031828756860279024,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,15,0.03969835862517357,0.009540390064741703,0.003015796837218581,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__local_density,1,0.37155787107792304,0.16376302565665954,0.020779484288489566,local_density,Local density blur
cnn_direct_vector_regression__local_density,2,0.23893777423716606,0.08803238022200605,0.015090539496629796,local_density,Local density blur
cnn_direct_vector_regression__local_density,3,0.19302150987564248,0.06905483470318165,0.012396667430058439,local_density,Local density blur
cnn_direct_vector_regression__local_density,4,0.16141278978357923,0.056092597781977754,0.01053201924375397,local_density,Local density blur
cnn_direct_vector_regression__local_density,5,0.13701329681467503,0.046992881500974616,0.009002041467960844,local_density,Local density blur
cnn_direct_vector_regression__local_density,6,0.1183523546825064,0.040931410453421004,0.007742094440742376,local_density,Local density blur
cnn_direct_vector_regression__local_density,7,0.09530744907703806,0.030387979753791018,0.00649194695808469,local_density,Local density blur
cnn_direct_vector_regression__local_density,8,0.08194189074825733,0.02627118391559479,0.0055670706812847165,local_density,Local density blur
cnn_direct_vector_regression__local_density,9,0.07026698376904143,0.02190102866672455,0.004836595448804029,local_density,Local density blur
cnn_direct_vector_regression__local_density,10,0.060828378384417674,0.018375992656071136,0.004245238616428477,local_density,Local density blur
cnn_direct_vector_regression__local_density,11,0.050482538152248305,0.013829917646944523,0.003665262045576534,local_density,Local density blur
cnn_direct_vector_regression__local_density,12,0.045333415269851685,0.011804733643347913,0.0033528681279734727,local_density,Local density blur
cnn_direct_vector_regression__local_density,13,0.04036780819296837,0.009916872836332372,0.0030450935554789736,local_density,Local density blur
cnn_direct_vector_regression__local_density,14,0.036229994465061956,0.008382670690325346,0.0027847323725198178,local_density,Local density blur
cnn_direct_vector_regression__local_density,15,0.03239056475936098,0.006914358001519391,0.0025476206718210844,local_density,Local density blur
