sample,method,Method,preprocess_method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
0,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.51,0.0,0.8,1.0,1.0,0,0,0,25,65,16294,0.0,0.0,0.0,0.9945068359374393,0.0
0,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.5038461538461538,0.0,0.7692307692307692,1.0,1.0,0,0,0,26,65,16293,0.0,0.0,0.0,0.9944458007811893,0.0
1,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.5500313845050215,0.07327235772357724,0.8352941176470589,1.0,1.0,0,0,11,126,297,15950,0.08029197080233365,0.03571428571416976,0.049438201820800415,0.9741821289061905,0.02534562211975727
1,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.3452318866571019,0.12404471544715448,0.9470588235294117,0.0,1.0,0,2,5,150,303,15926,0.03225806451592092,0.016233766233713528,0.021598271692735434,0.9723510742186906,0.010917030567661754
2,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.3606431034482759,0.15966666666666668,0.9439655172413793,0.0,1.0,2,1,9,175,444,15756,0.04891304347799504,0.019867549668830316,0.028257456417961953,0.9622192382811913,0.014331210191059983
2,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.3045349453322119,0.09628455284552845,0.8060344827586207,0.0,1.0,2,0,13,172,440,15759,0.07027027026989044,0.028697571743866012,0.04075235068527727,0.9626464843749413,0.02079999999996672
3,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.6878749999999999,0.3341666666666666,0.9375,1.0,1.0,0,0,23,23,130,16208,0.4999999999891305,0.1503267973846384,0.23115577853670363,0.9906616210936895,0.1306818181810757
3,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.8091666666666667,0.65,0.8333333333333334,1.0,1.0,0,0,0,41,153,16190,0.0,0.0,0.0,0.9881591796874397,0.0
4,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.6233653846153846,0.163034188034188,1.0,1.0,1.0,0,0,20,32,140,16192,0.38461538460798816,0.12499999999921876,0.18867924491100038,0.9895019531249396,0.10416666666612413
4,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.5112903225806451,0.0,0.8064516129032258,1.0,1.0,0,0,4,57,156,16167,0.06557377049072831,0.02499999999984375,0.036199094622632634,0.9869995117186897,0.018433179723417358
5,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.32996456371324234,0.07393410852713177,0.9834710743801653,0.0,1.0,1,1,9,218,522,15635,0.03964757709233636,0.016949152542340962,0.02374670142732577,0.9548339843749417,0.012016021361799712
5,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.3240402892561983,0.0975,0.9008264462809917,0.0,1.0,1,0,3,211,528,15642,0.01401869158871954,0.005649717514113654,0.008053690865672739,0.9548950195311917,0.00404312668463067
6,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.9801587301587301,0.962962962962963,0.9841269841269842,1.0,1.0,0,0,0,63,64,16257,0.0,0.0,0.0,0.9922485351561894,0.0
6,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.6288930348258707,0.2018518518518518,0.9402985074626866,1.0,1.0,0,0,6,61,58,16259,0.08955223880463355,0.09374999999853516,0.09160305293397822,0.9927368164061894,0.047999999999615996
7,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,4,1,0.6323221400922003,0.24813480331773016,0.9533073929961089,1.0,0.8,0,0,25,229,552,15578,0.09842519685000621,0.04332755632574813,0.06016847129621279,0.9523315429686918,0.031017369727008665
7,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,4,1,0.5330753499747006,0.12293388429752067,0.7387755102040816,1.0,0.8,0,0,22,151,555,15656,0.1271676300570684,0.038128249566658355,0.05866666631159111,0.9569091796874416,0.030219780219738708
8,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.572602564102564,0.12999999999999998,0.8205128205128205,1.0,1.0,0,0,16,17,24,16327,0.4848484848337925,0.39999999999,0.4383561638761494,0.997497558593689,0.28070175438104034
8,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.9680769230769231,0.9401709401709402,0.975,1.0,1.0,0,0,0,41,40,16303,0.0,0.0,0.0,0.9950561523436893,0.0
9,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.37331046544831525,0.20606209150326796,0.9029126213592233,0.0,1.0,0,1,13,167,587,15617,0.072222222221821,0.021666666666630557,0.033333332978218284,0.9539794921874417,0.016949152542350784
9,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.5665304746494066,0.041049382716049375,0.9902912621359223,1.0,1.0,0,0,8,179,592,15605,0.04278074866287283,0.01333333333331111,0.020330368125572967,0.9529418945311918,0.010269576379961143
10,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.5918936825885979,0.17595959595959595,0.8135593220338984,1.0,1.0,0,0,0,134,506,15744,0.0,0.0,0.0,0.9609374999999413,0.0
10,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.3077608047690015,0.031818181818181815,0.9672131147540983,0.0,1.0,0,3,5,163,501,15715,0.02976190476172761,0.009881422924881658,0.014836794877924445,0.9594726562499414,0.007473841554547872
11,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.52,0.0,0.85,1.0,1.0,0,0,13,30,62,16279,0.30232558138831805,0.17333333333102222,0.2203389825838839,0.9943847656249393,0.12380952380834467
11,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.625,0.19444444444444445,0.9375,1.0,1.0,0,0,0,49,75,16260,0.0,0.0,0.0,0.9924316406249394,0.0
12,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,4,1,0.3815667903525047,0.24286195286195286,0.9863945578231292,0.0,0.75,0,1,4,133,216,16031,0.029197080291757688,0.01818181818173554,0.02240896311233514,0.9786987304686903,0.011331444759174698
12,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,4,1,0.5797300670931502,0.12775263951734536,0.9862068965517241,1.0,0.75,0,0,15,125,205,16039,0.10714285714209185,0.06818181818150827,0.08333333285756173,0.9798583984374402,0.04347826086943919
13,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.734,0.52,0.75,1.0,1.0,0,0,0,67,89,16228,0.0,0.0,0.0,0.9904785156249395,0.0
13,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.7203636363636364,0.52,0.6818181818181819,1.0,1.0,0,0,31,30,58,16265,0.5081967213031443,0.34831460673765935,0.4133333328452444,0.9946289062499393,0.26050420167848315
14,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,4,1,0.3110006128776408,0.12643585614600106,0.8955223880597015,0.0,0.75,1,2,22,166,410,15786,0.11702127659512224,0.050925925925808045,0.07096774151269511,0.964843749999941,0.03678929765880136
14,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,4,1,0.3338624222798899,0.14744234065762815,0.9625668449197861,0.0,0.75,1,1,33,119,399,15833,0.21710526315646642,0.07638888888871206,0.11301369824468709,0.9683837890624408,0.05989110707793123
15,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,4,1,0.2923319023936578,0.10268646164722517,0.8556149732620321,0.0,0.75,0,2,15,125,505,15739,0.10714285714209185,0.028846153846098375,0.04545454512015611,0.9615478515624413,0.023255813953452317
15,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,4,1,0.34039319759524367,0.178592132505176,0.9251336898395722,0.0,0.75,0,1,14,141,506,15723,0.09032258064457857,0.02692307692302515,0.04148148112755886,0.9605102539061914,0.02118003025715404
16,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.3993712514994002,0.2426829268292683,0.9508196721311475,0.0,1.0,1,0,3,51,149,16181,0.05555555555452675,0.019736842105133313,0.029126213205108876,0.9877929687499397,0.014778325123079911
16,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,1,1,0.2537834866053579,0.16869918699186992,0.639344262295082,0.0,0.5,1,0,2,35,150,16197,0.054054054052593135,0.013157894736755542,0.02116402084891241,0.9887084960936896,0.010695187165718208
17,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,1,1,0.4020408163265306,0.0,0.5102040816326531,1.0,0.5,0,0,3,16,152,16213,0.157894736833795,0.01935483870955255,0.03448275842574978,0.9897460937499396,0.01754385964902021
17,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,1,1,0.40204931972789115,0.04537037037037035,0.40816326530612246,1.0,0.5,0,0,0,20,155,16209,0.0,0.0,0.0,0.9893188476561896,0.0
18,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,4,1,0.33380710095982935,0.1535919540229885,0.9484536082474226,0.0,0.75,1,1,46,138,416,15784,0.2499999999986413,0.09956709956688406,0.14241486027327013,0.966186523437441,0.07666666666653889
18,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,4,1,0.3354518365817092,0.1415837914376145,0.9836956521739131,0.0,0.75,1,1,6,157,456,15765,0.03680981595069442,0.012987012986984877,0.01919999961437185,0.9625854492186913,0.009693053311777555
19,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.5182926829268293,0.0,0.8414634146341463,1.0,1.0,0,0,8,51,171,16154,0.13559322033668486,0.04469273742991792,0.06722689038284725,0.9864501953124397,0.03478260869550095
19,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.8092854833970026,0.5815447154471545,0.9879518072289156,1.0,1.0,0,0,0,63,179,16142,0.0,0.0,0.0,0.9852294921874398,0.0
20,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.32246825396825396,0.12047619047619049,0.8412698412698413,0.0,1.0,1,0,23,158,401,15802,0.12707182320371785,0.05424528301873999,0.07603305743165086,0.965881347656191,0.03951890034357471
20,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.26492770167427704,0.043827160493827164,0.726027397260274,0.0,1.0,1,0,18,187,406,15773,0.08780487804835217,0.04245283018857912,0.05723370385295762,0.9638061523436912,0.029459901800279117
21,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.4810344827586207,0.0,0.6551724137931034,1.0,1.0,0,0,2,25,18,16339,0.07407407407133058,0.099999999995,0.08510638248619286,0.997375488281189,0.04444444444345679
21,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.502,0.0,0.76,1.0,1.0,0,0,2,20,18,16344,0.09090909090495868,0.099999999995,0.09523809473469388,0.997680664062439,0.04999999999875
22,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.5565714285714286,0.17333333333333334,0.6428571428571428,1.0,1.0,0,0,22,40,79,16243,0.3548387096716962,0.21782178217606116,0.2699386498320599,0.9927368164061894,0.15602836879321966
22,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.595,0.12962962962962965,0.9333333333333333,1.0,1.0,0,0,0,104,101,16179,0.0,0.0,0.0,0.9874877929686897,0.0
