Cycle,Training samples,Epoch,Loss,Continue/EOS loss,Coordinate loss,Elapsed minutes
larger,100000,1,0.3568004795047633,0.15822498311700722,0.019857549629009822,1.8082344683333456
larger,100000,2,0.24471984620746748,0.09030157757822967,0.01544182686744939,3.5963677533339555
larger,100000,3,0.21426469066639994,0.07311754520801479,0.014114714518208485,5.363464316666553
larger,100000,4,0.1953700959034588,0.06421763023309161,0.013115246578946214,7.1494847350006845
larger,100000,5,0.17697669041659825,0.05572332419655131,0.012125336615097187,8.937402600000496
larger,100000,6,0.16431377351741352,0.0502857201806534,0.011402805341774468,10.736785114999899
larger,100000,7,0.15658627992586407,0.04733712773155564,0.010924915219788127,12.508936533333811
larger,100000,8,0.14810781039850182,0.04223039742592541,0.010587741331437894,14.268642876666854
larger,100000,9,0.14270779115083576,0.039209337153560134,0.010349845418425473,16.024725431666592
larger,100000,10,0.1383465543160658,0.03826892239820508,0.010007763198098105,17.804375198334068
larger,100000,11,0.1321237553435061,0.03386437027212566,0.009825938509877228,19.572128718333747
larger,100000,12,0.12828307782711884,0.03192859287123622,0.009635448509403278,21.350844700000017
larger,100000,13,0.12699637213326476,0.03215788100438807,0.009483849092046052,23.125071688333993
larger,100000,14,0.12258522222985697,0.02954215256799765,0.009304306954574173,24.86471984333378
larger,100000,15,0.11920023212195052,0.02765900266054265,0.009154122943877983,26.597780584999903
