Cycle,Training samples,Epoch,Loss,Continue/EOS loss,Coordinate loss,Elapsed minutes
small,2000,1,0.8617469072341919,0.5424979459494352,0.03192489640787244,0.03403335333277937
small,2000,2,0.6421834081411362,0.3734220154583454,0.02687613933812827,0.0624764383333968
small,2000,3,0.5237529389560223,0.2663759207352996,0.02573770168237388,0.09013699666635754
small,2000,4,0.49017953127622604,0.23713070154190063,0.025304882554337382,0.11762230833313272
small,2000,5,0.4696520958095789,0.2215797482058406,0.02480723464395851,0.144423901666111
small,2000,6,0.4486895967274904,0.20609073154628277,0.024259885889478028,0.17174960833314495
small,2000,7,0.43927106261253357,0.2003497015684843,0.023892135825008154,0.1993383699998958
small,2000,8,0.43171212635934353,0.1958815772086382,0.02358305489178747,0.2269431966667374
small,2000,9,0.4148738607764244,0.18229355849325657,0.023258030065335333,0.2545891550000912
small,2000,10,0.3912555053830147,0.16193999908864498,0.02293155062943697,0.2821903399997003
small,2000,11,0.391771886497736,0.16418084781616926,0.022759104147553444,0.3098938816663576
small,2000,12,0.37805585004389286,0.15394091792404652,0.022411493584513664,0.34457826666669766
small,2000,13,0.38215612806379795,0.16201918525621295,0.0220136942807585,0.3812068266667969
small,2000,14,0.37827148102223873,0.1616388652473688,0.021663261693902314,0.4176206900000883
small,2000,15,0.3681901842355728,0.15677430294454098,0.021141587756574154,0.4552417999996881
