Cycle,Training samples,sample,Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
small,100,0,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,277,16107,0.0,0.0,0.0,0.9830932617186899,0.0
small,100,1,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,510,15874,0.0,0.0,0.0,0.9688720703124408,0.0
small,100,2,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,159,16225,0.0,0.0,0.0,0.9902954101561895,0.0
small,100,3,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,32,16352,0.0,0.0,0.0,0.998046874999939,0.0
small,100,4,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,717,15667,0.0,0.0,0.0,0.9562377929686916,0.0
small,100,5,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,60,16324,0.0,0.0,0.0,0.9963378906249392,0.0
small,100,6,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,3,0,0,0,655,15729,0.0,0.0,0.0,0.9600219726561914,0.0
small,100,7,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,260,16124,0.0,0.0,0.0,0.9841308593749399,0.0
small,100,8,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,174,16210,0.0,0.0,0.0,0.9893798828124396,0.0
small,100,9,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,470,15914,0.0,0.0,0.0,0.9713134765624407,0.0
small,100,10,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,200,16184,0.0,0.0,0.0,0.9877929687499397,0.0
small,100,11,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,253,16131,0.0,0.0,0.0,0.9845581054686898,0.0
small,100,12,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,411,15973,0.0,0.0,0.0,0.9749145507811905,0.0
small,100,13,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,92,16292,0.0,0.0,0.0,0.9943847656249393,0.0
small,100,14,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,31,16353,0.0,0.0,0.0,0.998107910156189,0.0
small,100,15,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,92,16292,0.0,0.0,0.0,0.9943847656249393,0.0
small,100,16,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,286,16098,0.0,0.0,0.0,0.98254394531244,0.0
small,100,17,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,511,15873,0.0,0.0,0.0,0.9688110351561908,0.0
