sample,predicted_vectors
0,14
1,24
2,8
3,2
4,26
5,2
6,31
7,19
8,4
9,18
10,19
11,14
12,21
13,5
14,1
15,6
16,17
17,24
18,30
19,12
20,16
21,10
22,23
23,13
24,16
25,29
26,28
27,32
28,33
29,23
30,10
31,34
32,27
33,31
34,16
35,17
36,13
37,18
38,28
39,23
40,16
41,25
42,21
43,23
44,28
45,30
46,5
47,10
48,5
49,26
50,7
51,11
52,31
53,15
54,12
55,6
56,1
57,25
58,26
59,1
60,26
61,31
62,19
63,14
64,1
65,30
66,24
67,25
68,5
69,11
70,7
71,15
72,5
73,7
74,6
75,18
76,7
77,13
78,6
79,10
80,2
81,30
82,28
83,14
84,15
85,9
86,4
87,33
88,25
89,28
90,26
91,3
92,12
93,4
94,6
95,20
96,8
97,16
98,4
99,3
100,25
101,14
102,2
103,27
104,6
105,26
106,11
107,17
108,18
109,26
110,24
111,16
112,24
113,19
114,13
115,20
116,24
117,21
118,19
119,24
120,19
121,1
122,28
123,21
124,28
125,2
126,12
127,17
128,5
129,21
130,9
131,20
132,9
133,31
134,19
135,12
136,33
137,27
138,8
139,29
140,20
141,5
142,5
143,20
144,13
145,11
146,16
147,20
148,13
149,14
150,11
151,20
152,11
153,12
154,9
155,2
156,29
157,2
158,8
159,15
160,18
161,21
162,14
163,6
164,25
165,25
166,34
167,2
168,7
169,5
170,14
171,8
172,1
173,20
174,7
175,21
176,16
177,35
178,11
179,7
180,4
181,10
182,12
183,25
184,11
185,17
186,19
187,27
188,26
189,20
190,20
191,7
192,19
193,20
194,39
195,25
196,31
197,2
198,21
199,25
200,9
201,11
202,3
203,13
204,17
205,3
206,25
207,9
208,18
209,11
210,29
211,18
212,29
213,9
214,15
215,13
216,24
217,32
218,14
219,5
220,22
221,25
222,23
223,8
224,29
225,7
226,2
227,2
228,13
229,31
230,7
231,4
232,14
233,9
234,9
235,17
236,21
237,22
238,29
239,29
240,10
241,4
242,8
243,5
244,24
245,15
246,4
247,21
248,3
249,5
250,11
251,9
252,18
253,24
254,3
255,14
256,14
257,17
258,7
259,12
260,15
261,23
262,8
263,29
264,12
265,6
266,24
267,11
268,10
269,24
270,12
271,6
272,4
273,27
274,9
275,9
276,6
277,19
278,3
279,12
280,20
281,10
282,9
283,1
284,17
285,25
286,15
287,10
288,23
289,14
290,8
291,16
292,28
293,8
294,10
295,16
296,15
297,1
298,23
299,25
300,8
301,25
302,14
303,23
304,2
305,23
306,19
307,8
308,27
309,25
310,41
311,11
312,11
313,23
314,21
315,9
316,12
317,30
318,24
319,18
320,8
321,24
322,17
323,31
324,2
325,9
326,33
327,17
328,28
329,16
330,16
331,18
332,24
333,31
334,20
335,26
336,23
337,6
338,12
339,27
340,2
341,21
342,10
343,13
344,19
345,7
346,9
347,18
348,21
349,6
350,10
351,8
352,22
353,6
354,22
355,19
356,12
357,5
358,19
359,18
360,33
361,10
362,24
363,5
364,21
365,24
366,16
367,16
368,16
369,12
370,19
371,5
372,8
373,15
374,35
375,33
376,2
377,27
378,15
379,13
380,20
381,10
382,8
383,15
384,8
385,16
386,16
387,24
388,19
389,20
390,18
391,15
392,22
393,21
394,10
395,21
396,5
397,25
398,2
399,21
400,7
401,10
402,16
403,25
404,22
405,19
406,18
407,18
408,22
409,16
410,5
411,9
412,23
413,10
414,12
415,5
416,16
417,24
418,28
419,24
420,28
421,13
422,7
423,14
424,5
425,4
426,28
427,29
428,20
429,10
430,2
431,7
432,11
433,20
434,11
435,9
436,7
437,25
438,18
439,27
440,15
441,26
442,29
443,7
444,11
445,8
446,17
447,24
448,14
449,19
450,11
451,20
452,4
453,31
454,12
455,17
456,18
457,35
458,18
459,29
460,16
461,40
462,13
463,9
464,23
465,2
466,4
467,24
468,20
469,8
470,9
471,20
472,19
473,9
474,2
475,15
476,14
477,10
478,19
479,9
480,8
481,5
482,21
483,23
484,21
485,6
486,33
487,23
488,17
489,6
490,12
491,15
492,13
493,15
494,26
495,17
496,12
497,21
498,30
499,6
500,11
501,6
502,15
503,10
504,6
505,10
506,7
507,43
