method,method_display,preprocess_method,preprocess_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,preprocess_kind,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,0,3,3,0,0.6647875324828727,0.34343681917211333,0.8012048192771084,1.0,1.0,0,0,0.3308270676666855,0.10551558752972298,0.1599999996327339,0.08695652173895858,0.9718017578124407,44,89,373,15878,0.3308270676666855,0.10551558752972298,0.1599999996327339,0.9718017578124407,0.08695652173895858,binary,417,417,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,0,3,3,0,0.4818825301204819,0.10833333333333334,0.4156626506024096,1.0,1.0,0,0,0.2985074626821118,0.024968789013701663,0.046082949166187964,0.023584905660349546,0.949462890624942,20,47,781,15536,0.2985074626821118,0.024968789013701663,0.046082949166187964,0.949462890624942,0.023584905660349546,binary,417,801,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,0,3,3,0,0.4725414156626506,0.034027777777777775,0.536144578313253,1.0,1.0,0,0,0.05882352941107266,0.011990407673832158,0.019920318443715182,0.010060362173017987,0.9699707031249408,5,80,412,15887,0.05882352941107266,0.011990407673832158,0.019920318443715182,0.9699707031249408,0.010060362173017987,binary,417,417,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,0,3,3,0,0.6203511841483581,0.26610838779956425,0.7530120481927711,1.0,1.0,0,0,0.023809523809334845,0.005272407732855409,0.008633093228300824,0.004335260115600672,0.9579467773436915,3,123,566,15692,0.023809523809334845,0.005272407732855409,0.008633093228300824,0.9579467773436915,0.004335260115600672,local_density,417,569,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,0,3,3,0,0.6050527108433735,0.1625,0.9096385542168675,1.0,1.0,0,0,0.1315789473675554,0.03412969283270626,0.054200541678189794,0.027855153203303822,0.9573974609374415,20,132,566,15666,0.1315789473675554,0.03412969283270626,0.054200541678189794,0.9573974609374415,0.027855153203303822,sobel_edges,417,586,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,0,3,3,0,0.2649015178360501,0.05051742919389978,0.7108433734939759,0.0,1.0,0,1,0.583333333327932,0.05352591333895197,0.0980544745540529,0.05155482815053064,0.9292602539061933,63,45,1114,15162,0.583333333327932,0.05352591333895197,0.0980544745540529,0.9292602539061933,0.05155482815053064,distance_transform,417,1177,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,0,3,3,0,0.5309457831325302,0.043333333333333335,0.8072289156626506,1.0,1.0,0,0,0.16417910447638673,0.05275779376486149,0.07985480906899517,0.041587901701244635,0.9690551757811908,22,112,395,15855,0.16417910447638673,0.05275779376486149,0.07985480906899517,0.9690551757811908,0.041587901701244635,neighbour_context,417,417,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,0,3,3,0,0.5514834337349398,0.05416666666666666,0.8855421686746988,1.0,1.0,0,0,0.11888111888028756,0.1036585365847338,0.1107491851693705,0.058620689654970276,0.9833374023436899,17,126,147,16094,0.11888111888028756,0.1036585365847338,0.1107491851693705,0.9833374023436899,0.058620689654970276,skeleton,417,164,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,1,3,3,0,0.34691749222999224,0.2411858974358974,0.6919191919191919,0.0,1.0,2,0,0.16666666666545896,0.03993055555548623,0.0644257699961004,0.03328509406652202,0.9592285156249414,23,115,553,15693,0.16666666666545896,0.03993055555548623,0.0644257699961004,0.9592285156249414,0.03328509406652202,binary,576,576,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,1,3,3,0,0.33859413850038855,0.12841346153846153,0.9040404040404041,0.0,1.0,2,0,0.2371794871779668,0.035104364326342404,0.061157024568679726,0.03154305200338317,0.9306640624999432,37,119,1017,15211,0.2371794871779668,0.035104364326342404,0.061157024568679726,0.9306640624999432,0.03154305200338317,binary,576,1054,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,1,3,3,0,0.34285171425796424,0.19174679487179486,0.7828282828282829,0.0,1.0,2,0,0.10810810810737766,0.027491408934660667,0.04383561611496341,0.02240896358540279,0.9573974609374415,16,132,566,15670,0.10810810810737766,0.027491408934660667,0.04383561611496341,0.9573974609374415,0.02240896358540279,binary,576,582,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,1,3,3,0,0.3622657342657343,0.19897435897435894,0.8636363636363636,0.0,1.0,2,1,0.14864864864764427,0.04081632653053652,0.06404657899219653,0.033082706766867545,0.9607543945311914,22,126,517,15719,0.14864864864764427,0.04081632653053652,0.06404657899219653,0.9607543945311914,0.033082706766867545,local_density,576,542,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,1,3,3,0,0.3737930992618492,0.24254807692307695,0.8232323232323232,0.0,1.0,2,1,0.3437499999978516,0.09197324414700339,0.1451187331757994,0.07823613086759852,0.9604492187499414,55,105,543,15681,0.3437499999978516,0.09197324414700339,0.1451187331757994,0.9604492187499414,0.07823613086759852,sobel_edges,576,598,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,1,3,3,0,0.3491176250933533,0.12641025641025644,0.9611650485436893,0.0,1.0,2,0,0.40476190475949547,0.048850574712608584,0.08717948698718606,0.045576407506671864,0.9130859374999443,68,100,1324,14892,0.40476190475949547,0.048850574712608584,0.08717948698718606,0.9130859374999443,0.045576407506671864,distance_transform,576,1392,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
