method,method_display,preprocess_method,preprocess_display,preprocess_kind,input_channels,channel_names,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,binary,1,,0,3,3,0,0.5896596300442455,0.1081525312294543,0.954954954954955,1.0,1.0,0,0,0.03296703296667069,0.007792207792187553,0.012605041707497712,0.006342494714574329,0.9713134765624407,3,88,382,15911,0.03296703296667069,0.007792207792187553,0.012605041707497712,0.9713134765624407,0.006342494714574329,385,385,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,binary,1,,0,3,3,0,0.6148997330353262,0.1971316818774446,0.8809523809523809,1.0,1.0,0,0,0.05128205128161297,0.008510638297860269,0.014598539901797294,0.007352941176461577,0.9505615234374419,6,111,699,15568,0.05128205128161297,0.008510638297860269,0.014598539901797294,0.9505615234374419,0.007352941176461577,385,705,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,binary,1,,0,3,3,0,0.5779017837861185,0.14635108481262324,0.8102189781021898,1.0,1.0,0,0,0.03999999999968,0.012987012986979254,0.019607842767128035,0.009900990098990295,0.9694824218749408,5,120,380,15879,0.03999999999968,0.012987012986979254,0.019607842767128035,0.9694824218749408,0.009900990098990295,385,385,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,local_density,1,,0,3,3,0,0.6276458250666062,0.18800521512385918,0.9652173913043478,1.0,1.0,0,0,0.04587155963260668,0.009074410163322914,0.01515151487571626,0.007633587786247888,0.9603271484374414,5,104,546,15729,0.04587155963260668,0.009074410163322914,0.01515151487571626,0.9603271484374414,0.007633587786247888,385,551,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,sobel_edges,1,,0,3,2,1,0.47365064768910925,0.08859303090072321,0.5855855855855856,1.0,0.6666666666666667,0,0,0.048387096773413116,0.007211538461521126,0.012552301029411253,0.006315789473670915,0.9711914062499407,3,59,413,15909,0.048387096773413116,0.007211538461521126,0.012552301029411253,0.9711914062499407,0.006315789473670915,385,416,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,distance_transform,1,,0,3,3,0,0.5382207207207208,0.15000000000000002,0.6036036036036037,1.0,1.0,0,0,0.39062499999389644,0.026455026454998462,0.04955401375621389,0.02540650406501483,0.9414672851561925,25,39,920,15400,0.39062499999389644,0.026455026454998462,0.04955401375621389,0.9414672851561925,0.02540650406501483,385,945,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,neighbour_context,1,,0,3,3,0,0.6317484892319112,0.26601043024771837,0.8102189781021898,1.0,1.0,0,0,0.09401709401629045,0.02857142857135436,0.043824700837550204,0.022403258655758852,0.9707031249999407,11,106,374,15893,0.09401709401629045,0.02857142857135436,0.043824700837550204,0.9707031249999407,0.022403258655758852,385,385,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,skeleton,1,,0,3,4,1,0.6432114265824673,0.2925706771860618,0.9327731092436975,1.0,0.75,0,0,0.036363636363305786,0.04347826086909263,0.039603959899617694,0.020202020201918174,0.9881591796874397,4,106,88,16186,0.036363636363305786,0.04347826086909263,0.039603959899617694,0.9881591796874397,0.020202020201918174,385,92,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__multi_channel_stack,CNN + Multi-channel stack,multi_channel_stack,Multi-channel stack,multi_channel,8,"threshold_only, dilated_stroke, close_gaps, local_density, sobel_edges, distance_transform, neighbour_context, skeleton",0,3,3,0,0.558345993922917,0.04257067718606179,0.9459459459459459,1.0,1.0,0,0,0.34831460673765935,0.03280423280419809,0.059961315123018534,0.030907278165472674,0.9406738281249426,31,58,914,15381,0.34831460673765935,0.03280423280419809,0.059961315123018534,0.9406738281249426,0.030907278165472674,385,945,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,binary,1,,1,4,4,0,0.5850839552238806,0.17083333333333334,0.791044776119403,1.0,1.0,0,0,0.08396946564821398,0.06874999999957032,0.07560137407489285,0.03928571428557398,0.9835815429686899,11,120,149,16104,0.08396946564821398,0.06874999999957032,0.07560137407489285,0.9835815429686899,0.03928571428557398,160,160,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
