sample,candidate_peak_count,selected_peak_count,predicted_vectors
0,1062,3,1
1,948,2,2
2,1842,5,3
3,5062,9,5
4,7008,8,5
5,4633,10,5
6,412,2,1
7,906,5,5
8,1827,5,3
9,493,3,3
10,3362,7,6
11,3355,8,8
12,5816,9,8
13,2637,10,5
14,2496,6,6
15,323,2,2
16,1186,6,4
17,3826,10,7
18,1292,3,3
19,366,2,2
20,87,1,1
21,6869,14,12
22,699,3,3
23,59,1,1
24,83,1,1
25,1260,5,4
26,25,1,1
27,3244,3,3
28,1361,6,4
29,20,1,1
30,306,2,2
31,3886,9,5
32,4034,7,4
33,3174,3,3
34,2471,5,3
35,60,1,1
36,225,2,2
37,636,3,2
38,11000,14,8
39,933,4,3
40,5838,15,14
41,861,1,1
42,293,1,1
43,3911,5,4
44,2298,8,7
45,8389,6,5
46,4460,9,6
47,948,3,2
48,56,2,2
49,6125,10,5
50,4207,7,5
51,1742,4,2
52,2738,5,4
53,797,2,2
54,1144,5,5
55,830,5,5
56,225,5,4
57,6013,4,4
58,693,1,1
59,1559,5,4
60,622,4,2
61,6569,10,6
62,1081,2,2
63,2296,6,2
64,3307,6,5
65,2684,6,4
66,9541,7,6
67,7963,7,5
68,4227,7,5
69,87,1,1
70,2597,4,3
71,414,1,1
72,688,3,2
73,7655,11,7
74,7334,5,4
75,5708,5,3
76,2414,10,5
77,6475,9,5
78,672,4,4
79,1757,6,5
80,68,2,2
81,108,2,2
82,982,3,3
83,2366,5,4
84,794,2,1
85,2590,10,9
86,49,1,1
87,6147,11,8
88,1846,7,4
89,832,5,2
90,4097,5,3
91,7403,7,5
92,2983,2,2
93,2251,4,4
94,5368,7,4
95,2402,5,5
96,963,4,2
97,1463,2,2
98,893,3,2
99,390,2,1
100,3633,7,5
101,8674,7,6
102,384,4,2
103,3922,5,3
104,2808,10,7
105,558,3,2
106,3179,6,3
107,3031,7,3
108,6507,8,7
109,720,1,1
110,703,3,2
111,4134,4,4
112,443,2,2
113,11299,13,8
114,43,1,1
115,4830,7,2
116,1582,6,4
117,21,1,1
118,2816,7,4
119,2164,10,7
120,3024,7,6
121,2155,8,6
122,26,1,1
123,7945,11,8
124,1489,6,3
125,704,4,2
126,21,1,1
127,569,2,2
128,3657,3,3
129,3734,5,5
130,5139,11,7
131,1816,3,2
132,1069,3,3
133,691,5,3
134,3510,5,5
135,1201,5,3
136,1531,5,4
137,843,3,1
138,5050,8,4
139,3121,5,3
140,833,1,1
141,3522,8,5
142,7364,5,5
143,5917,7,7
144,2873,6,5
145,583,2,2
146,2439,6,3
147,233,1,1
148,1808,6,5
149,3220,5,3
150,1513,5,4
151,3605,7,4
152,414,2,2
153,3691,6,4
154,1153,6,6
155,2897,8,4
156,164,2,2
157,7731,9,6
158,1507,6,4
159,1430,5,4
160,3632,6,5
161,1763,3,2
162,1537,4,2
163,1376,2,2
164,110,1,1
165,32,1,1
166,1504,3,3
167,7125,10,6
168,351,2,1
169,1364,3,3
170,3636,5,5
171,1995,4,3
172,2095,10,6
173,1174,4,3
174,517,3,3
175,2900,9,6
176,1025,2,2
177,1007,2,2
178,1350,3,3
179,7458,6,4
180,2599,9,5
181,38,1,1
182,8607,7,5
183,4361,5,5
184,3761,4,3
185,5646,8,4
186,505,5,3
187,8071,8,7
188,3523,2,2
189,2648,7,3
190,2917,2,2
191,6978,5,4
192,4406,11,5
193,183,2,1
194,94,1,1
195,1743,5,4
196,1553,5,5
197,855,2,2
198,2446,4,3
199,100,1,1
200,3762,7,5
201,9265,9,6
202,6722,8,7
203,623,3,1
204,968,2,1
205,347,4,3
206,4378,7,5
207,590,6,2
208,1131,1,1
209,462,4,4
210,1291,5,2
211,6307,9,7
212,108,1,1
213,55,1,1
214,112,2,2
215,2566,5,5
216,3734,14,7
217,2048,6,2
218,50,1,1
219,2083,7,7
220,2707,4,4
221,2350,4,3
222,7582,11,9
223,3767,7,4
224,3902,6,6
225,1091,3,3
226,6009,7,4
227,1960,4,2
228,326,2,2
229,648,3,3
230,9145,13,7
231,682,4,2
232,628,1,1
233,3129,4,4
234,644,3,1
235,1799,4,4
236,4821,7,4
237,4275,6,4
238,501,1,1
239,1686,6,4
240,93,2,2
241,1573,2,2
242,1333,5,4
243,741,1,1
244,3336,7,5
245,4504,3,3
246,200,2,2
247,1019,1,1
248,468,2,2
249,5183,4,3
250,7028,8,7
251,262,2,2
252,1937,5,3
253,8452,5,4
254,313,2,2
255,7267,9,6
256,2911,6,5
257,3864,5,4
258,560,4,3
259,122,1,1
260,6795,8,5
261,2701,4,4
262,1155,5,5
263,2418,3,3
264,8432,5,4
265,612,2,1
266,27,1,1
267,79,1,1
268,4589,4,4
269,3941,7,6
270,486,4,3
271,3217,6,4
272,2432,3,3
273,3164,8,4
274,75,1,1
275,1742,3,3
276,706,3,3
277,1776,5,5
278,7093,8,5
279,65,1,1
280,6779,7,5
281,1080,4,3
282,3880,4,4
283,3010,8,6
284,887,4,1
285,5919,7,6
286,256,2,1
287,5284,8,8
288,1347,3,3
289,1139,4,2
290,3953,6,4
291,3662,8,5
292,692,5,5
293,2835,5,5
294,1400,5,3
295,4474,5,5
296,1995,5,5
297,7493,9,5
298,2804,6,4
299,8432,18,12
300,535,2,2
301,11229,13,9
302,194,1,1
303,4095,8,7
304,2949,7,4
305,4990,9,7
306,198,2,2
307,1780,5,4
308,1064,5,4
309,620,2,1
310,6879,16,11
311,3969,5,5
312,6502,9,6
313,845,4,2
314,9640,7,5
315,4408,5,3
316,2692,6,6
317,2344,4,4
318,1882,4,3
319,551,4,2
320,395,2,2
321,2469,6,6
322,418,2,2
323,740,4,2
324,4178,5,5
325,1973,7,5
326,2248,5,4
327,4614,5,3
328,1999,8,5
329,1131,2,2
330,2373,5,3
331,676,3,1
332,10217,10,6
333,1436,3,3
334,4277,10,8
335,6830,9,7
336,12555,8,7
337,841,1,1
338,7602,12,6
339,3624,9,5
340,497,2,2
341,8419,8,7
342,2609,8,5
343,400,3,3
344,2935,9,6
345,3481,5,3
346,1789,6,5
347,398,3,3
348,561,4,4
349,835,1,1
350,5842,5,5
351,2363,5,3
352,553,3,2
353,696,4,4
354,4227,8,6
355,4537,8,5
356,597,5,5
357,3501,7,6
358,598,3,3
359,781,5,3
360,2459,10,5
361,26,1,1
362,50,1,1
363,3165,8,6
364,1144,5,2
365,6362,9,7
366,6969,7,5
367,75,1,1
368,6877,11,8
369,85,1,1
370,1648,9,7
371,971,2,2
372,5362,9,7
373,4112,12,7
374,12495,11,8
375,105,2,2
376,371,1,1
377,4756,5,4
378,730,4,3
379,249,2,2
380,2398,7,4
381,2080,8,7
382,9051,7,6
383,25,1,1
384,25,1,1
385,102,1,1
386,2633,4,4
387,597,2,2
388,6805,12,7
389,448,2,2
390,4911,10,6
391,1254,1,1
392,3105,6,5
393,833,2,2
394,838,3,3
395,3864,6,4
396,2467,8,5
397,289,2,2
398,5313,7,5
399,2122,6,4
400,2788,7,4
401,1054,2,2
402,1121,5,4
403,3471,7,5
404,2216,7,6
405,393,3,1
406,11816,10,4
407,1240,2,2
408,43,1,1
409,722,1,1
410,5113,6,3
411,530,1,1
412,2240,4,4
413,5460,10,7
414,715,2,2
415,6041,12,8
416,6741,7,4
417,152,1,1
418,5667,5,5
419,82,1,1
420,7605,10,5
421,2040,8,4
422,39,1,1
423,2466,4,3
424,1201,2,2
425,347,3,3
426,174,2,2
427,972,2,2
428,2947,3,3
429,2356,4,3
430,739,3,3
431,586,4,2
432,1332,5,4
433,4108,9,5
434,81,1,1
435,3726,11,7
436,258,3,3
437,5256,10,6
438,10510,9,6
439,190,2,2
440,753,2,2
441,1007,2,2
442,3210,5,4
443,5859,11,7
444,437,3,3
445,7889,9,6
446,9548,11,9
447,8694,11,6
448,336,1,1
449,1164,6,4
450,3392,5,5
451,3049,4,4
452,3923,12,5
453,914,5,4
454,711,3,2
455,1252,4,4
456,7819,10,6
457,2030,4,3
458,155,2,2
459,3985,7,6
460,638,4,4
461,94,1,1
462,1376,5,3
463,4254,9,6
464,6874,5,5
465,990,1,1
466,987,3,3
467,829,3,3
468,2456,7,5
469,5598,9,7
470,4179,4,4
471,7271,9,6
472,167,2,2
473,321,3,3
474,4830,7,5
475,6659,7,5
476,134,1,1
477,282,2,2
478,2982,6,4
479,1858,5,5
480,280,3,2
481,1341,3,3
482,2635,6,5
483,1092,4,2
484,1422,4,2
485,2385,8,5
486,544,2,2
487,900,2,2
488,3281,6,4
489,497,4,4
490,548,4,4
491,5149,6,5
492,4022,4,3
493,289,3,3
494,2419,8,6
495,109,1,1
496,3544,7,4
497,4725,8,6
498,8451,7,5
499,1095,3,3
500,8930,10,7
501,1702,6,3
502,9687,11,9
503,8170,8,6
504,2320,4,4
505,430,1,1
506,430,1,1
507,3419,6,4
508,3022,3,3
509,5095,9,7
510,968,5,5
511,162,3,3
512,383,3,1
513,811,3,1
514,137,1,1
515,8364,4,4
516,3881,9,7
517,690,5,5
518,4670,4,3
519,625,2,2
520,145,1,1
521,13767,14,8
522,2826,6,3
523,1971,6,4
524,184,3,3
525,4200,5,3
526,974,2,2
527,874,4,2
528,10652,15,10
529,6768,11,6
530,8375,13,9
531,2999,6,5
532,927,2,2
533,801,2,2
534,1430,5,4
535,3001,3,3
536,11509,13,9
537,576,5,4
538,117,1,1
539,1041,2,2
540,2876,2,2
541,202,2,2
542,3274,3,3
543,3252,9,6
544,1938,5,5
545,1276,6,6
546,583,3,2
547,1107,3,2
548,4832,6,5
549,103,1,1
550,696,3,3
551,6238,9,7
552,209,1,1
553,5302,5,5
554,5599,3,3
555,6896,9,4
556,828,4,3
557,3026,6,3
558,1356,3,3
559,724,3,3
560,4412,11,5
561,1211,3,3
562,1458,5,2
563,4722,8,5
564,1799,5,4
565,4369,9,5
566,792,4,3
567,583,2,2
568,163,2,2
569,2650,9,6
570,5628,7,6
571,1018,2,1
572,7965,10,7
573,1829,3,3
574,459,1,1
575,2437,6,4
576,4348,9,6
577,675,5,5
578,587,5,3
579,356,2,1
580,3896,11,7
581,857,3,2
582,68,1,1
583,953,2,2
584,3354,4,4
585,6608,12,6
586,4346,4,3
587,502,4,1
588,67,1,1
589,1111,1,1
590,5598,5,4
591,333,1,1
592,4037,8,7
593,9408,14,7
594,393,3,1
595,2277,8,7
596,1312,5,4
597,1099,2,2
598,3578,5,2
599,2498,6,5
600,1743,4,3
601,4344,6,5
602,3446,4,4
603,4140,10,7
604,3371,8,6
605,6572,14,7
606,2537,3,3
607,597,4,4
608,2105,7,4
609,255,4,4
610,5894,10,7
611,348,2,2
612,1521,5,3
613,1509,4,2
614,708,1,1
615,2183,10,9
616,1767,7,5
617,1789,4,2
618,5641,9,8
619,2801,9,6
620,5615,7,6
621,2511,4,4
622,2474,5,4
623,2862,6,4
624,1759,5,4
625,1711,4,4
626,4050,6,4
627,354,3,3
628,6389,5,4
629,229,2,2
630,4185,6,4
631,6199,8,6
632,106,1,1
633,5757,6,5
634,5485,5,4
635,281,1,1
636,1348,3,2
637,1408,3,2
638,1426,5,3
639,2263,4,2
640,516,4,1
641,10265,13,6
642,2107,4,3
643,3596,4,3
644,3501,9,7
645,576,3,3
646,992,4,3
647,897,1,1
648,338,3,3
649,117,1,1
650,2759,4,4
651,3392,6,4
652,39,1,1
653,2047,5,5
654,1752,5,5
655,1650,4,4
656,3954,10,8
657,7509,10,7
658,1295,3,3
659,1141,3,3
660,2572,5,4
661,25,1,1
662,6207,9,6
663,7336,8,5
664,3207,4,2
665,4843,8,4
666,30,1,1
667,3111,6,4
668,3628,4,4
669,90,1,1
670,420,1,1
671,91,2,2
672,5666,6,5
673,10196,14,10
674,6778,10,8
675,1887,4,2
676,3365,9,6
677,1563,5,4
678,1197,7,3
679,31,1,1
680,6631,5,5
681,1533,4,2
682,468,4,2
683,227,2,2
684,203,3,3
685,233,2,2
686,725,3,3
687,1000,3,1
688,4378,8,6
689,251,2,2
690,1161,4,3
691,1058,3,2
692,1066,1,1
693,3090,4,4
694,3451,5,4
695,195,1,1
696,1352,7,6
697,5937,5,4
698,7536,14,13
699,717,3,3
700,6833,8,6
701,8759,6,4
702,5329,11,9
703,1899,4,3
704,3718,5,4
705,3599,10,3
706,1049,2,1
707,1877,7,5
708,1789,9,6
709,2519,11,10
710,3233,6,5
711,310,2,2
712,1071,3,2
713,4036,6,5
714,10036,10,9
715,3823,8,6
716,2492,6,5
717,896,2,2
718,1880,5,4
719,152,2,2
720,909,2,1
721,8114,12,5
722,11314,7,6
723,4277,8,5
724,2264,5,4
725,1178,3,1
726,3203,7,5
727,1390,3,3
728,105,1,1
729,303,3,3
730,429,2,2
731,3556,8,4
732,11698,10,7
733,4886,4,4
734,4368,10,6
735,6826,7,4
736,2417,4,3
737,964,4,3
738,581,3,3
739,2548,6,5
740,1844,2,2
741,3706,8,4
742,2220,5,4
743,6726,8,6
744,1185,6,5
745,28,1,1
746,5483,9,7
747,3597,7,4
748,1849,3,3
749,9042,14,7
750,6541,6,5
751,3045,6,4
752,614,2,2
753,583,3,3
754,741,2,2
755,4114,4,4
756,1146,2,2
757,1511,4,2
758,102,1,1
759,1283,4,4
760,5395,8,6
761,4364,11,6
762,34,1,1
763,1944,7,5
764,410,1,1
765,930,4,3
766,5356,8,6
767,8335,5,5
768,335,2,2
769,1309,5,3
770,3396,8,4
771,2547,4,3
772,4815,11,10
773,1454,5,4
774,3355,4,4
775,1038,2,2
776,4659,7,7
777,4545,10,7
778,460,1,1
779,8465,8,6
780,473,3,3
781,1004,5,3
782,1891,5,5
783,490,4,4
784,4468,7,5
785,4433,10,8
786,261,3,2
787,633,3,1
788,2456,4,3
789,4248,13,7
790,2723,7,4
791,4018,7,5
792,2526,3,3
793,10290,13,9
794,672,3,3
795,939,5,3
796,9432,13,9
797,775,4,4
798,7926,14,9
799,453,1,1
800,3962,5,3
801,835,4,1
802,1978,3,3
803,34,1,1
804,1735,3,3
805,985,3,1
806,6788,11,10
807,775,5,3
808,9939,9,8
809,2802,6,5
810,4817,6,6
811,5043,4,4
812,945,1,1
813,1146,5,5
814,1848,5,2
815,49,1,1
816,3452,4,2
817,8991,14,9
818,581,2,2
819,5670,5,5
820,69,1,1
821,639,4,2
822,1212,2,2
823,650,3,1
824,2869,3,3
825,4400,4,4
826,179,1,1
827,796,1,1
828,203,2,2
829,252,2,1
830,1297,3,3
831,2879,8,5
832,2520,5,4
833,8066,9,6
834,134,2,2
835,399,4,3
836,4271,8,5
837,643,2,2
838,9141,5,5
839,1705,5,5
840,7810,12,9
841,4115,7,7
842,7213,11,10
843,11786,6,5
844,4329,7,4
845,7429,14,10
846,218,1,1
847,82,1,1
848,1171,6,5
849,8765,11,8
850,85,1,1
851,4205,3,3
852,685,3,2
853,8867,7,6
854,83,1,1
855,2598,2,2
856,2235,5,4
857,4930,11,8
858,481,2,2
859,4077,9,7
860,776,4,1
861,4556,7,4
862,3144,6,5
863,5345,5,4
864,352,1,1
865,1544,7,6
866,4149,7,5
867,926,4,3
868,273,1,1
869,3462,7,6
870,8767,13,7
871,1946,6,4
872,600,2,2
873,2437,4,4
874,1380,4,2
875,7575,10,7
876,562,4,4
877,585,4,4
878,2597,4,4
879,979,5,5
880,7621,7,5
881,134,1,1
882,259,1,1
883,967,3,2
884,2792,3,3
885,3163,6,6
886,3233,8,4
887,3318,5,5
888,4131,4,4
889,4245,8,5
890,2046,5,4
891,8477,11,5
892,801,1,1
893,1231,3,2
894,2420,7,5
895,705,4,2
896,387,1,1
897,886,2,1
898,697,4,2
899,1887,2,2
900,4202,6,4
901,33,1,1
902,6751,13,9
903,5236,6,5
904,1941,3,3
905,1421,3,3
906,2508,7,4
907,2943,6,6
908,1192,7,3
909,3584,5,5
910,5907,9,6
911,6563,13,6
912,35,1,1
913,55,1,1
914,4060,9,7
915,5591,11,6
916,4706,9,6
917,791,4,3
918,4041,7,6
919,10797,14,6
920,10722,7,6
921,854,5,3
922,537,1,1
923,253,3,3
924,5968,10,9
925,100,1,1
926,3167,5,3
927,4851,5,5
928,1902,2,2
929,1023,1,1
930,2669,6,6
931,935,2,2
932,6079,5,5
933,868,1,1
934,2057,6,4
935,465,3,1
936,3863,6,4
937,1958,5,3
938,5496,6,6
939,351,2,2
940,4829,11,7
941,8444,9,5
942,752,2,2
943,6507,10,7
944,1579,3,3
945,6262,4,3
946,1928,4,4
947,72,1,1
948,5276,8,6
949,417,1,1
950,19,1,1
951,4846,7,5
952,3059,4,3
953,38,1,1
954,1752,8,6
955,5151,8,6
956,1182,1,1
957,2189,6,5
958,6272,9,6
959,2457,5,4
960,5082,7,6
961,2496,4,3
962,2229,2,2
963,4497,6,4
964,3380,5,4
965,8159,12,6
966,4539,9,5
967,387,2,2
968,3059,7,6
969,9138,15,11
970,3717,7,4
971,107,1,1
972,418,2,1
973,664,1,1
974,1036,2,2
975,3810,8,7
976,1211,2,2
977,1405,7,6
978,4380,7,5
979,183,3,3
980,133,2,2
981,22,1,1
982,152,1,1
983,2044,5,4
984,845,7,2
985,628,3,2
986,1101,2,2
987,5235,6,4
988,8519,8,8
989,1249,4,4
990,5011,7,5
991,2540,13,11
992,7057,8,6
993,3919,9,6
994,488,1,1
995,1118,2,2
996,2331,5,3
997,3154,6,4
998,500,1,1
999,3004,8,3
1000,1620,4,4
1001,2973,6,4
1002,5114,4,3
1003,1415,5,4
1004,39,1,1
1005,518,3,1
1006,3523,6,3
1007,998,3,2
1008,1048,5,4
1009,4803,11,7
1010,862,4,2
1011,2678,5,3
1012,682,2,2
1013,35,1,1
1014,231,1,1
1015,1147,5,4
1016,580,2,2
1017,1937,6,6
1018,105,1,1
1019,1811,4,3
1020,3962,9,7
1021,6046,9,8
1022,650,2,2
1023,2288,3,2
1024,1042,4,1
1025,1781,7,4
1026,2758,8,5
1027,1997,7,6
1028,5243,7,3
1029,4056,9,7
1030,675,5,2
1031,1474,6,5
1032,114,2,2
1033,1535,4,4
1034,516,1,1
1035,2818,2,2
1036,65,1,1
1037,113,1,1
1038,120,1,1
1039,579,1,1
1040,3055,6,6
1041,86,1,1
1042,998,4,2
1043,677,3,2
1044,66,1,1
1045,1963,7,6
1046,5852,12,8
1047,5046,5,5
1048,484,2,2
1049,2687,3,3
1050,663,1,1
1051,2164,8,5
1052,38,1,1
1053,3863,8,5
1054,4796,5,4
1055,2748,8,2
1056,446,2,2
1057,538,3,1
1058,5543,8,6
1059,4131,5,4
1060,4794,9,6
1061,602,2,2
1062,424,1,1
1063,197,2,2
1064,5863,8,6
1065,109,1,1
1066,2770,7,4
1067,660,5,4
1068,2672,5,5
1069,2970,3,3
1070,5813,6,4
1071,4760,8,6
1072,709,4,2
1073,4098,4,3
1074,6915,10,7
1075,4604,7,6
1076,1361,4,2
1077,710,1,1
1078,5095,10,5
1079,604,4,4
1080,1071,1,1
1081,611,4,2
1082,4732,11,7
1083,1626,5,3
1084,88,1,1
1085,1952,2,2
1086,690,1,1
1087,846,1,1
1088,3531,5,5
