method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,junction_nodes,traced_paths
baseline_original_unchanged,0,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9924926757811894,2,0
skeleton_junction_fix,0,2,2,0,0.9369047619047619,0.880952380952381,0.9523809523809523,1.0,1.0,0,0,0.9999999999750001,0.3252032520298764,0.49079754563589145,0.3252032520298764,0.9949340820311893,4,2
baseline_original_unchanged,1,5,3,2,0.39515306122448984,0.45,0.6632653061224489,0.0,0.6,1,0,0.8484848484784207,0.310249307478365,0.4543610543727726,0.2939632545924043,0.9835815429686899,7,3
skeleton_junction_fix,1,5,5,0,0.6460427615862399,0.7848569305091044,0.9642857142857143,0.0,1.0,1,0,0.9567567567515851,0.4903047091399161,0.6483516479012265,0.4796747967466676,0.9882812499999396,10,6
baseline_original_unchanged,2,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9925537109374394,1,0
skeleton_junction_fix,2,1,1,0,0.9358974358974359,0.8803418803418804,0.9487179487179487,1.0,1.0,0,0,0.9999999999736843,0.31147540983351246,0.4749999996318749,0.31147540983351246,0.9948730468749393,2,1
baseline_original_unchanged,3,4,5,1,0.21441176470588239,0.07647058823529412,0.5,0.0,0.8,2,6,0.42982456139973835,0.09193245778594385,0.1514683150106185,0.08193979933096665,0.9664916992186909,8,6
skeleton_junction_fix,3,4,5,1,0.4887520296284626,0.4726423055610629,0.9803149606299213,0.0,0.8,2,4,0.7124999999970313,0.32082551594686526,0.44243208236499987,0.28405315614570753,0.9736938476561905,11,9
baseline_original_unchanged,4,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9896240234374396,1,0
skeleton_junction_fix,4,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.999999999982143,0.3294117647039447,0.49557522086177463,0.3294117647039447,0.9930419921874394,2,1
baseline_original_unchanged,5,4,2,2,0.5151115618661258,0.29411764705882354,0.4137931034482759,1.0,0.5,0,0,0.7213114753980113,0.15331010452908256,0.25287356292781416,0.14473684210478704,0.9841308593749399,5,2
skeleton_junction_fix,5,4,4,0,0.831235294117647,0.6249673202614379,1.0,1.0,1.0,0,0,0.8827586206835673,0.44599303135733104,0.5925925921438722,0.42105263157756234,0.9892578124999396,8,5
baseline_original_unchanged,6,5,1,4,0.15483009708737863,0.25,0.11165048543689315,0.0,0.19999999999999996,1,0,0.9999999999583333,0.04145077720200095,0.07960198997305347,0.04145077720200095,0.966125488281191,5,1
skeleton_junction_fix,6,5,5,0,0.6961371359223302,0.8997222222222223,0.9563106796116505,0.0,1.0,1,0,0.9999999999946237,0.3212435233155074,0.4862745094346072,0.3212435233155074,0.9760131835936904,15,11
baseline_original_unchanged,7,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9870605468749397,1,0
skeleton_junction_fix,7,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999857142,0.3301886792437255,0.4964539003324782,0.3301886792437255,0.9913330078124395,2,1
baseline_original_unchanged,8,4,3,1,0.3623095238095238,0.3747619047619048,0.5933333333333333,0.0,0.75,2,1,0.49438202246635526,0.14666666666617778,0.2262210793374614,0.12753623188368832,0.98162841796869,5,3
skeleton_junction_fix,8,4,8,4,0.47123333333333334,0.5153333333333333,0.8466666666666667,0.08,0.5,2,5,0.8429752066046035,0.33999999999886665,0.48456056965934513,0.3197492162999381,0.9867553710936897,11,9
baseline_original_unchanged,9,3,2,1,0.7472649572649573,0.7692307692307693,0.4222222222222223,1.0,0.6666666666666667,0,0,0.9999999999750001,0.2631578947351108,0.4166666663324653,0.2631578947351108,0.9931640624999394,5,2
skeleton_junction_fix,9,3,3,0,0.9793540433925049,0.9689349112426036,0.9666666666666667,1.0,1.0,0,0,0.9999999999868421,0.4999999999967106,0.6666666662163743,0.4999999999967106,0.9953613281249393,6,3
baseline_original_unchanged,10,3,1,2,0.5214509068167605,0.38461538461538464,0.3252032520325203,1.0,0.33333333333333337,0,0,0.9999999999756098,0.12349397590324249,0.21983914189429954,0.12349397590324249,0.98223876953119,4,1
skeleton_junction_fix,10,3,3,0,0.9871560350218886,0.975071225071225,0.991869918699187,1.0,1.0,0,0,0.999999999990991,0.3343373493965833,0.5011286677937314,0.3343373493965833,0.9865112304686897,6,3
baseline_original_unchanged,11,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9855957031249398,2,0
skeleton_junction_fix,11,2,2,0,0.9478845389507154,0.9022058823529413,0.9594594594594594,1.0,1.0,0,0,0.9999999999863013,0.3093220338969944,0.4724919090211875,0.3093220338969944,0.9900512695311895,4,2
baseline_original_unchanged,12,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999897958,0.9999999999897958,0.9999999994897959,0.9999999999897958,0.9999999999999389,2,1
skeleton_junction_fix,12,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999897958,0.9999999999897958,0.9999999994897959,0.9999999999897958,0.9999999999999389,2,1
baseline_original_unchanged,13,5,2,3,0.23176530612244903,0.33,0.21632653061224494,0.0,0.4,1,0,0.9999999999818182,0.09136212624569541,0.16742770152035563,0.09136212624569541,0.9666137695311909,5,2
skeleton_junction_fix,13,5,4,1,0.8318169974594163,0.7160559127216053,0.8979591836734694,1.0,0.8,1,1,0.9999999999955157,0.37043189368709234,0.5406060602102715,0.37043189368709234,0.9768676757811904,9,6
baseline_original_unchanged,14,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9952392578124393,1,0
skeleton_junction_fix,14,1,1,0,0.9456521739130436,0.8985507246376813,0.9565217391304348,1.0,1.0,0,0,0.9999999999565218,0.29487179486801446,0.4554455441937064,0.29487179486801446,0.9966430664061892,2,1
baseline_original_unchanged,15,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999901961,0.9999999999901961,0.999999999490196,0.9999999999901961,0.9999999999999389,4,2
skeleton_junction_fix,15,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999901961,0.9999999999901961,0.999999999490196,0.9999999999901961,0.9999999999999389,4,2
baseline_original_unchanged,16,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9642944335936912,3,0
skeleton_junction_fix,16,3,3,0,0.9450223386902866,0.8918625070310463,0.968421052631579,1.0,1.0,0,0,0.9999999999946525,0.31965811965757324,0.48445595818086057,0.31965811965757324,0.9757080078124404,6,3
baseline_original_unchanged,17,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999333333,0.9999999999333333,0.9999999994333333,0.9999999999333333,0.9999999999999389,2,1
skeleton_junction_fix,17,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999333333,0.9999999999333333,0.9999999994333333,0.9999999999333333,0.9999999999999389,2,1
baseline_original_unchanged,18,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9954223632811893,1,0
skeleton_junction_fix,18,1,1,0,0.9431818181818182,0.8939393939393939,0.9545454545454546,1.0,1.0,0,0,0.9999999999545455,0.2933333333294222,0.45360824706259956,0.2933333333294222,0.9967651367186892,2,1
baseline_original_unchanged,19,3,3,0,1.0,1.0,1.0,1.0,1.0,1,1,0.9999999999934641,0.9999999999934641,0.9999999994934641,0.9999999999934641,0.9999999999999389,7,5
skeleton_junction_fix,19,3,3,0,1.0,1.0,1.0,1.0,1.0,1,1,0.9999999999934641,0.9999999999934641,0.9999999994934641,0.9999999999934641,0.9999999999999389,7,5
baseline_original_unchanged,20,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9844970703124399,1,0
skeleton_junction_fix,20,1,1,0,0.9698795180722891,0.9437751004016064,0.9759036144578314,1.0,1.0,0,0,0.9999999999878049,0.32283464566802034,0.488095237723356,0.32283464566802034,0.9895019531249396,2,1
baseline_original_unchanged,21,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9892578124999396,1,0
skeleton_junction_fix,21,1,1,0,0.956140350877193,0.9181286549707602,0.9649122807017544,1.0,1.0,0,0,0.999999999982143,0.31818181818001035,0.4827586203192628,0.31818181818001035,0.9926757812499394,2,1
baseline_original_unchanged,22,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999473684,0.9999999999473684,0.9999999994473685,0.9999999999473684,0.9999999999999389,2,1
skeleton_junction_fix,22,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999473684,0.9999999999473684,0.9999999994473685,0.9999999999473684,0.9999999999999389,2,1
baseline_original_unchanged,23,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999444444,0.9999999999444444,0.9999999994444444,0.9999999999444444,0.9999999999999389,2,1
skeleton_junction_fix,23,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999444444,0.9999999999444444,0.9999999994444444,0.9999999999444444,0.9999999999999389,2,1
baseline_original_unchanged,24,5,3,2,0.7536728133987483,0.6521739130434783,0.7509727626459144,1.0,0.6,1,1,0.9999999999948719,0.46874999999887323,0.6382978719037504,0.46874999999887323,0.9865112304686897,9,5
skeleton_junction_fix,24,5,5,0,0.9936544516011899,0.9876281371509367,0.9961089494163424,1.0,1.0,1,1,0.9999999999960475,0.6081730769216149,0.756352764848796,0.6081730769216149,0.9900512695311895,11,7
baseline_original_unchanged,25,4,2,2,0.5849557522123894,0.4444444444444444,0.4247787610619469,1.0,0.5,0,0,0.9999999999886363,0.18032786885208948,0.3055555552956211,0.18032786885208948,0.9755859374999404,6,2
skeleton_junction_fix,25,4,4,0,0.9759425002234736,0.954405162738496,0.9823008849557522,1.0,1.0,0,0,0.9999999999953704,0.4426229508187651,0.6136363632092587,0.4426229508187651,0.9833984374999399,8,4
baseline_original_unchanged,26,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9757080078124404,2,0
skeleton_junction_fix,26,2,2,0,0.9692708333333333,0.9421296296296295,0.9765625,1.0,1.0,0,0,0.999999999992126,0.3190954773861329,0.48380952344090705,0.3190954773861329,0.9834594726561899,4,2
baseline_original_unchanged,27,5,1,4,0.1667564259485924,0.23255813953488372,0.21052631578947367,0.0,0.19999999999999996,1,0,0.9999999999811321,0.08439490445846434,0.15565345066363925,0.08439490445846434,0.964904785156191,5,1
skeleton_junction_fix,27,5,5,0,0.9742073704436005,0.9480811560914919,0.9878542510121457,1.0,1.0,1,1,0.9999999999958333,0.38216560509493286,0.5529953913037015,0.38216560509493286,0.9763183593749404,18,14
baseline_original_unchanged,28,5,4,1,0.3566004153686397,0.317679012345679,0.6682242990654206,0.0,0.8,2,2,0.546153846149645,0.1533477321810943,0.23946037065180337,0.13601532567023752,0.9724731445311906,7,4
skeleton_junction_fix,28,5,5,0,0.9529937694704049,0.9059259259259258,0.9766355140186916,1.0,1.0,2,2,0.9999999999952831,0.4578833693294646,0.6281481477154238,0.4578833693294646,0.9846801757811898,12,9
baseline_original_unchanged,29,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9927368164061894,1,0
skeleton_junction_fix,29,1,1,0,0.9342105263157895,0.8771929824561404,0.9473684210526316,1.0,1.0,0,0,0.9999999999729731,0.31092436974528637,0.47435897399104204,0.31092436974528637,0.9949951171874393,2,1
baseline_original_unchanged,30,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9876098632811897,1,0
skeleton_junction_fix,30,1,1,0,0.9621212121212122,0.9292929292929293,0.9696969696969697,1.0,1.0,0,0,0.9999999999846153,0.3201970443333981,0.4850746264946258,0.3201970443333981,0.9915771484374395,2,1
baseline_original_unchanged,31,5,0,5,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.9512329101561919,1,0
skeleton_junction_fix,31,5,5,0,0.8615330706445257,0.8899565312568408,0.9719298245614035,0.6666666666666666,1.0,3,2,0.9615384615347633,0.3128911138919739,0.47214353126225056,0.3090234857845377,0.965881347656191,11,10
baseline_original_unchanged,32,2,1,1,0.5797169811320755,0.5,0.2735849056603774,1.0,0.5,0,0,0.9999999999666667,0.11111111111069959,0.19999999981866667,0.11111111111069959,0.9853515624999398,3,1
skeleton_junction_fix,32,2,2,0,0.991295025728988,0.9848484848484848,0.9905660377358491,1.0,1.0,0,0,0.9999999999906541,0.39629629629482854,0.5676392568848863,0.39629629629482854,0.9900512695311895,4,2
baseline_original_unchanged,33,3,2,1,0.1705897435897436,0.060000000000000005,0.3846153846153846,0.0,0.6666666666666667,1,1,0.14285714285374151,0.022388059701409002,0.03870967718484912,0.019736842105198233,0.98181152343744,4,2
skeleton_junction_fix,33,3,3,0,0.991559829059829,0.985042735042735,0.9914529914529915,1.0,1.0,1,1,0.9999999999911504,0.4216417910432028,0.5931758525980118,0.4216417910432028,0.9905395507811895,7,5
baseline_original_unchanged,34,4,1,3,0.4440217391304348,0.25,0.28260869565217395,1.0,0.25,0,0,0.9999999999848485,0.11379310344807966,0.20433436514098668,0.11379310344807966,0.9686279296874408,5,1
skeleton_junction_fix,34,4,4,0,0.9687582345191041,0.9402356902356903,0.9782608695652174,1.0,1.0,0,0,0.9999999999956333,0.39482758620621583,0.5661310255506944,0.39482758620621583,0.9785766601561903,8,4
baseline_original_unchanged,35,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.98211669921869,1,0
skeleton_junction_fix,35,1,1,0,0.9739583333333334,0.951388888888889,0.9791666666666666,1.0,1.0,0,0,0.9999999999894736,0.32423208191015623,0.4896907212771681,0.32423208191015623,0.9879150390624397,2,1
baseline_original_unchanged,36,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9771118164061904,2,0
skeleton_junction_fix,36,2,1,1,0.7325278923114238,0.6923558897243108,0.6048387096774194,1.0,0.5,0,0,0.9999999999868421,0.20266666666612623,0.33702882455197364,0.20266666666612623,0.98175048828119,3,1
baseline_original_unchanged,37,2,1,1,0.5964285714285715,0.5,0.3571428571428571,1.0,0.5,0,0,0.9999999999375,0.1509433962249911,0.2622950817350174,0.1509433962249911,0.9945068359374393,3,1
skeleton_junction_fix,37,2,2,0,0.9757936507936508,0.9567901234567902,0.9761904761904762,1.0,1.0,0,0,0.9999999999767443,0.4056603773546636,0.5771812076353318,0.4056603773546636,0.9961547851561892,4,2
baseline_original_unchanged,38,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9936523437499393,1,0
skeleton_junction_fix,38,1,1,0,0.9242424242424242,0.8585858585858585,0.9393939393939394,1.0,1.0,0,0,0.9999999999687501,0.3076923076893491,0.47058823492733554,0.3076923076893491,0.9956054687499392,2,1
baseline_original_unchanged,39,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9774169921874403,3,0
skeleton_junction_fix,39,3,3,0,0.9455700549450549,0.8980379188712521,0.9572649572649573,1.0,1.0,0,0,0.9999999999913043,0.3108108108099708,0.4742268037599745,0.3108108108099708,0.9844360351561899,6,3
baseline_original_unchanged,40,4,2,2,0.6141891891891893,0.5,0.44594594594594594,1.0,0.5,0,0,0.9999999999900989,0.20867768594998207,0.34529914501228137,0.20867768594998207,0.9766235351561904,6,2
skeleton_junction_fix,40,4,4,0,0.9820426943053525,0.9661008822401227,0.9864864864864865,1.0,1.0,0,0,0.9999999999955157,0.4607438016519406,0.6308345115889878,0.4607438016519406,0.9840698242186899,8,4
baseline_original_unchanged,41,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9913940429686895,1,0
skeleton_junction_fix,41,1,1,0,0.9715909090909091,0.946969696969697,0.9772727272727273,1.0,1.0,0,0,0.9999999999772728,0.3120567375864393,0.4756756753079912,0.3120567375864393,0.9940795898436893,2,1
baseline_original_unchanged,42,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999696971,0.9999999999696971,0.9999999994696971,0.9999999999696971,0.9999999999999389,2,1
skeleton_junction_fix,42,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999696971,0.9999999999696971,0.9999999994696971,0.9999999999696971,0.9999999999999389,2,1
baseline_original_unchanged,43,5,3,2,0.6306939799331104,0.5652173913043478,0.3317307692307693,1.0,0.6,0,0,0.999999999984127,0.1275303643722115,0.22621184899066232,0.1275303643722115,0.9736938476561905,8,3
skeleton_junction_fix,43,5,5,0,0.9818770903010033,0.9661371237458194,0.9855769230769231,1.0,1.0,0,0,0.999999999995025,0.40688259109229374,0.5784172657742518,0.40688259109229374,0.98211669921869,10,5
baseline_original_unchanged,44,3,0,3,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.9686889648436908,2,0
skeleton_junction_fix,44,3,6,3,0.5273093845164664,0.6001484480431849,0.9528795811518325,0.06666666666666667,0.5,1,6,0.8562874251445732,0.27875243664663013,0.42058823492233127,0.26629422718758605,0.9759521484374404,8,6
baseline_original_unchanged,45,4,2,2,0.17140552530752168,0.10344827586206896,0.3742690058479532,0.0,0.5,1,0,0.5535714285615434,0.08333333333310933,0.1448598128559918,0.07808564231718366,0.9776611328124403,8,5
skeleton_junction_fix,45,4,4,0,0.9789717619967605,0.9610678531701891,0.9824561403508771,1.0,1.0,1,1,0.9999999999933334,0.40322580645052897,0.5747126432663937,0.40322580645052897,0.9864501953124397,11,8
baseline_original_unchanged,46,4,1,3,0.42370689655172417,0.25,0.18103448275862066,1.0,0.25,0,0,0.9999999999767443,0.06847133757950881,0.1281669149318254,0.06847133757950881,0.9642944335936912,5,1
