sample,same_vector_count,exactly_same_vectors
0,False,False
1,True,False
2,True,True
3,False,False
4,True,False
5,False,False
6,True,True
7,False,False
8,False,False
9,True,True
10,False,False
11,False,False
12,True,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,False
18,False,False
19,False,False
20,False,False
21,False,False
22,False,False
23,True,False
24,True,False
25,True,True
26,True,False
27,False,False
28,False,False
29,True,True
30,False,False
31,False,False
32,False,False
33,True,False
34,True,True
35,False,False
36,False,False
37,False,False
38,False,False
39,True,True
40,False,False
41,False,False
42,False,False
43,True,False
44,False,False
45,False,False
46,False,False
47,False,False
48,True,False
49,False,False
50,True,False
51,False,False
52,True,False
53,True,False
54,False,False
55,False,False
56,False,False
57,False,False
58,True,True
59,False,False
60,False,False
61,False,False
62,True,False
63,True,False
64,True,True
65,False,False
66,True,True
67,True,False
68,True,False
69,False,False
70,True,True
71,False,False
72,False,False
73,False,False
74,True,True
75,False,False
76,False,False
77,True,True
78,True,False
79,False,False
