method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,Baseline on shared skeleton,0,8,9,1,0.698661828605609,0.6556072110378341,0.9626373626373627,0.4888888888888888,0.8888888888888888,9,9,0.7794486215519312,0.735224586286678,0.756690997065495,0.6086105675134861,0.9877929687499397,311,88,112,15873,0.7794486215519312,0.735224586286678,0.756690997065495,0.9877929687499397,0.6086105675134861,850,423,21,22,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,0,8,11,3,0.5617794041830888,0.5075938018242122,0.9142857142857143,0.3111111111111111,0.7272727272727273,9,8,0.6052631578931441,0.543735224585003,0.5728518052285251,0.4013961605577637,0.9790649414061903,230,150,193,15811,0.6052631578931441,0.543735224585003,0.5728518052285251,0.9790649414061903,0.4013961605577637,850,423,20,21,309.0,11.0,6.0,66.0,31.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,0,8,10,2,0.29423423701621376,0.10079457364341086,0.7054945054945054,0.1111111111111111,0.8,9,8,0.07299270072966062,0.047281323876956785,0.05738880870489432,0.029542097488878077,0.9598999023436914,20,254,403,15707,0.07299270072966062,0.047281323876956785,0.05738880870489432,0.9598999023436914,0.029542097488878077,850,423,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,0,8,12,4,0.33031616466263214,0.22029287439613526,0.767032967032967,0.04444444444444443,0.6666666666666667,9,6,0.054140127388362616,0.04018912529541326,0.04613297101691739,0.023611111111078317,0.9570922851561916,17,297,406,15664,0.054140127388362616,0.04018912529541326,0.04613297101691739,0.9570922851561916,0.023611111111078317,850,423,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,1,7,9,2,0.6721519197990757,0.7515417331206805,0.8746518105849582,0.325,0.7777777777777778,4,8,0.735973597357307,0.7311475409812094,0.7335526310765398,0.5792207792192747,0.9901123046874395,223,80,82,15999,0.735973597357307,0.7311475409812094,0.7335526310765398,0.9901123046874395,0.5792207792192747,597,305,17,14,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,1,7,9,2,0.6815726592267788,0.7712387028176502,0.8774373259052924,0.325,0.7777777777777778,4,8,0.7392739273902994,0.7344262295057888,0.7368421047607395,0.5833333333318143,0.9902343749999395,224,79,81,16000,0.7392739273902994,0.7344262295057888,0.7368421047607395,0.9902343749999395,0.5833333333318143,597,305,17,14,270.0,12.0,1.0,10.0,12.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,1,7,7,0,0.3243557374351646,0.07542789480588523,0.7437325905292479,0.16666666666666666,1.0,4,6,0.04958677685929923,0.03934426229495297,0.04387568506405891,0.022429906542014152,0.9680786132811909,12,230,293,15849,0.04958677685929923,0.03934426229495297,0.04387568506405891,0.9680786132811909,0.022429906542014152,597,305,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,1,7,7,0,0.2885153747288559,0.1539895978189989,0.596100278551532,0.0,1.0,4,4,0.07960199004935521,0.05245901639327063,0.06324110624023965,0.03265306122442316,0.9710693359374407,16,185,289,15894,0.07960199004935521,0.05245901639327063,0.06324110624023965,0.9710693359374407,0.03265306122442316,597,305,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,2,2,2,0,0.9537878787878787,0.9121212121212121,0.9666666666666667,1.0,1.0,0,0,0.999999999988764,0.999999999988764,0.9999999994887641,0.999999999988764,0.9999999999999389,89,0,0,16295,0.999999999988764,0.999999999988764,0.9999999994887641,0.9999999999999389,0.999999999988764,284,89,4,2,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,2,2,2,0,0.9537878787878787,0.9121212121212121,0.9666666666666667,1.0,1.0,0,0,0.999999999988764,0.999999999988764,0.9999999994887641,0.999999999988764,0.9999999999999389,89,0,0,16295,0.999999999988764,0.999999999988764,0.9999999994887641,0.9999999999999389,0.999999999988764,284,89,4,2,85.0,4.0,0.0,0.0,0.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,2,2,4,2,0.5218269230769231,0.10833333333333335,0.8653846153846154,1.0,0.5,0,0,0.03960396039564749,0.044943820224214115,0.042105262659445995,0.021505376343970404,0.9888916015624396,4,97,85,16198,0.03960396039564749,0.044943820224214115,0.042105262659445995,0.9888916015624396,0.021505376343970404,284,89,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,2,2,3,1,0.2297087020648968,0.008333333333333342,0.7964601769911505,0.0,0.6666666666666667,0,1,0.029702970296735614,0.033707865168160586,0.031578946870083106,0.01604278074857731,0.9887695312499396,3,98,86,16197,0.029702970296735614,0.033707865168160586,0.031578946870083106,0.9887695312499396,0.01604278074857731,284,89,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,3,18,20,2,0.6132946256839454,0.5616396006324897,0.8706411698537683,0.3857142857142857,0.9,12,14,0.7227586206886583,0.6940397350984185,0.7081081076073568,0.5481171548111421,0.9736328124999406,524,201,231,15428,0.7227586206886583,0.6940397350984185,0.7081081076073568,0.9736328124999406,0.5481171548111421,1949,755,41,38,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,3,18,22,4,0.6344126780594757,0.6338120413911018,0.8368953880764904,0.39999999999999997,0.8181818181818181,12,18,0.7545839210144505,0.7086092715222403,0.7308743164393858,0.5758880516678409,0.9759521484374404,535,174,220,15455,0.7545839210144505,0.7086092715222403,0.7308743164393858,0.9759521484374404,0.5758880516678409,1949,755,42,39,565.0,27.0,5.0,115.0,43.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,3,18,18,0,0.38777503966111604,0.23010017616828757,0.6276715410573679,0.23478260869565218,1.0,12,23,0.0995850622404573,0.06357615894031314,0.07760711350967639,0.04037005887296857,0.9303588867186932,48,434,707,15195,0.0995850622404573,0.06357615894031314,0.07760711350967639,0.9303588867186932,0.04037005887296857,1949,755,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,3,18,17,1,0.3714302241539337,0.1809116147858249,0.6445444319460067,0.26666666666666666,0.9444444444444444,12,12,0.11068702290055213,0.07682119205287838,0.09069585565377565,0.0475020475020086,0.9290161132811933,58,466,697,15163,0.11068702290055213,0.07682119205287838,0.09069585565377565,0.9290161132811933,0.0475020475020086,1949,755,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,4,5,5,0,0.9538554723392451,0.9093765711412769,0.9731800766283525,1.0,1.0,0,0,0.9773755656064372,0.9557522123851516,0.9664429525158726,0.9350649350608872,0.999084472656189,216,5,10,16153,0.9773755656064372,0.9557522123851516,0.9664429525158726,0.999084472656189,0.9350649350608872,495,226,14,10,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,4,5,5,0,0.9538554723392451,0.9093765711412769,0.9731800766283525,1.0,1.0,0,0,0.9773755656064372,0.9557522123851516,0.9664429525158726,0.9350649350608872,0.999084472656189,216,5,10,16153,0.9773755656064372,0.9557522123851516,0.9664429525158726,0.999084472656189,0.9350649350608872,495,226,14,10,194.0,9.0,0.0,21.0,2.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,4,5,18,13,0.4060380194518126,0.41316239316239317,0.9616858237547893,0.0,0.2777777777777778,0,29,0.03301886792437255,0.030973451327296578,0.03196346981999959,0.016241299303906633,0.9741210937499405,7,205,219,15953,0.03301886792437255,0.030973451327296578,0.03196346981999959,0.9741210937499405,0.016241299303906633,495,226,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,4,5,8,3,0.3057426795651948,0.13696329813976874,0.9080459770114943,0.0,0.625,0,1,0.014084507042187397,0.013274336283127105,0.01366742546848555,0.006880733944938347,0.9735717773436906,3,210,223,15948,0.014084507042187397,0.013274336283127105,0.01366742546848555,0.9735717773436906,0.006880733944938347,495,226,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,5,11,16,5,0.7345081055768525,0.868833240260278,0.9572490706319703,0.3333333333333333,0.6875,4,6,0.7983539094633779,0.7838383838368004,0.7910295611701929,0.6543001686329607,0.9874877929686897,388,98,107,15791,0.7983539094633779,0.7838383838368004,0.7910295611701929,0.9874877929686897,0.6543001686329607,1540,495,30,23,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,5,11,17,6,0.6867946458097082,0.7893887958158338,0.9479553903345725,0.30909090909090914,0.6470588235294117,4,11,0.7644628099157759,0.7474747474732374,0.7558733396415219,0.6075533661730582,0.9854125976561898,370,114,125,15775,0.7644628099157759,0.7474747474732374,0.7558733396415219,0.9854125976561898,0.6075533661730582,1540,495,30,23,426.0,22.0,4.0,32.0,11.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,5,11,11,0,0.3779521102121146,0.19880174291938998,0.8382899628252788,0.08333333333333333,1.0,4,12,0.029850746268582463,0.024242424242375268,0.02675585234812438,0.013559322033882984,0.9467163085936922,12,390,483,15499,0.029850746268582463,0.024242424242375268,0.02675585234812438,0.9467163085936922,0.013559322033882984,1540,495,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,5,11,14,3,0.4053800660030638,0.22358834880591524,0.9386617100371747,0.15384615384615385,0.7857142857142857,4,13,0.04700854700844656,0.04444444444435466,0.04569054986374572,0.02337938363440661,0.9439086914061924,22,446,473,15443,0.04700854700844656,0.04444444444435466,0.04569054986374572,0.9439086914061924,0.02337938363440661,1540,495,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,6,2,2,0,0.9395670995670995,0.8868686868686868,0.9523809523809523,1.0,1.0,0,0,0.999999999983871,0.999999999983871,0.9999999994838711,0.999999999983871,0.9999999999999389,62,0,0,16322,0.999999999983871,0.999999999983871,0.9999999994838711,0.9999999999999389,0.999999999983871,203,62,4,2,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,6,2,2,0,0.9395670995670995,0.8868686868686868,0.9523809523809523,1.0,1.0,0,0,0.999999999983871,0.999999999983871,0.9999999994838711,0.999999999983871,0.9999999999999389,62,0,0,16322,0.999999999983871,0.999999999983871,0.9999999994838711,0.9999999999999389,0.999999999983871,203,62,4,2,58.0,4.0,0.0,0.0,0.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,6,2,7,5,0.3498214285714286,0.325,0.875,0.0,0.2857142857142857,0,5,0.0,0.0,0.0,0.0,0.9921874999999394,0,66,62,16256,0.0,0.0,0.0,0.9921874999999394,0.0,203,62,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,6,2,2,0,0.49603174603174605,0.0,0.7301587301587302,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9938964843749393,0,38,62,16284,0.0,0.0,0.0,0.9938964843749393,0.0,203,62,0,0,,,,,,False
