method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.99999999996,0.99999999996,0.99999999946,0.99999999996,0.9999999999999389,16359,0,0,25,0.9999999999999388,0.9999999999999388,0.9999999994999389,0.9999999999999389,0.9999999999999388,25,25,2,1,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.99999999996,0.99999999996,0.99999999946,0.99999999996,0.9999999999999389,16359,0,0,25,0.9999999999999388,0.9999999999999388,0.9999999994999389,0.9999999999999389,0.9999999999999388,25,25,2,1,23.0,2.0,0.0,0.0,0.0,False
baseline_on_shared_skeleton,1,10,19,9,0.4462989627095449,0.40418764005720526,0.7422480620155039,0.25333333333333335,0.5263157894736843,5,15,0.5741758241742468,0.5291139240492934,0.5507246371805423,0.3799999999993091,0.9791870117186902,15834,186,155,209,0.9883895131085525,0.9903058352616805,0.9893467457275621,0.9791870117186902,0.9789180834620723,1237,395,30,27,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,1,10,20,10,0.43086802681202935,0.4265447515447517,0.7209302325581395,0.17894736842105266,0.5,5,19,0.5706214689249418,0.5113924050619965,0.5393858472971206,0.3692870201090141,0.9789428710936903,15837,193,152,202,0.9879600748595765,0.9904934642566144,0.9892251470685701,0.9789428710936903,0.9786800148312336,1237,395,30,27,261.0,13.0,7.0,95.0,19.0,False
baseline_on_shared_skeleton,2,2,2,0,0.9878719402649899,0.9760928961748634,0.9931506849315068,1.0,1.0,1,1,0.9834710743720374,0.9834710743720374,0.9834710738720374,0.9674796747888823,0.9997558593749389,16261,2,2,119,0.9998770214596938,0.9998770214596938,0.9998770209596938,0.9997558593749389,0.9997540731631724,250,121,5,4,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,2,2,5,3,0.46324971461187214,0.47125,0.9726027397260274,0.06666666666666667,0.4,1,6,0.6363636363583771,0.6363636363583771,0.6363636358583771,0.46666666666383844,0.9946289062499393,16219,44,44,77,0.9972944721145547,0.9972944721145547,0.9972944716145546,0.9946289062499393,0.9946035444900353,250,121,6,5,109.0,4.0,0.0,6.0,2.0,False
baseline_on_shared_skeleton,3,18,32,14,0.6365035138137346,0.7324301145019231,0.8546511627906976,0.318918918918919,0.5625,30,37,0.6552538370712453,0.6201117318428826,0.6371986217728972,0.46756529064830027,0.9614257812499413,15197,340,292,555,0.9781167535559646,0.981147911420945,0.9796299872521458,0.9614257812499413,0.9600732832142927,2359,895,50,61,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,3,18,35,17,0.5975374749028711,0.7027352326529156,0.875,0.21951219512195116,0.5142857142857142,30,41,0.7269585253447847,0.7050279329601061,0.7158252972871668,0.5574204946991542,0.9694213867186908,15252,264,237,631,0.9829853054910426,0.9846988185163028,0.9838413154167244,0.9694213867186908,0.9681965339934635,2359,895,52,63,678.0,23.0,8.0,93.0,93.0,False
baseline_on_shared_skeleton,4,12,19,7,0.504214697767758,0.5032814452425779,0.8229007633587786,0.2,0.631578947368421,10,15,0.5728542914160223,0.5364485981298385,0.554054053553523,0.38317757009294634,0.9718017578124407,15635,248,214,287,0.9843858213183287,0.9864975708245954,0.985440564229549,0.9718017578124407,0.9712989998135695,1023,535,32,31,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,4,12,18,6,0.5487855885901053,0.5866284213509265,0.8198473282442749,0.2166666666666667,0.6666666666666667,10,12,0.7212121212106642,0.667289719624921,0.6932038829945536,0.5304606240705343,0.9807128906249402,15711,178,138,357,0.9887972811378318,0.9912928260457448,0.9900434805006315,0.9807128906249402,0.980283271978475,1023,535,34,33,419.0,17.0,6.0,66.0,27.0,False
baseline_on_shared_skeleton,5,2,2,0,0.9720728359173126,0.9448302469135801,0.9844961240310077,1.0,1.0,0,0,0.9999999999918698,0.9999999999918698,0.9999999994918698,0.9999999999918698,0.9999999999999389,16261,0,0,123,0.9999999999999385,0.9999999999999385,0.9999999994999385,0.9999999999999389,0.9999999999999385,417,123,4,2,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,5,2,2,0,0.9720728359173126,0.9448302469135801,0.9844961240310077,1.0,1.0,0,0,0.9999999999918698,0.9999999999918698,0.9999999994918698,0.9999999999918698,0.9999999999999389,16261,0,0,123,0.9999999999999385,0.9999999999999385,0.9999999994999385,0.9999999999999389,0.9999999999999385,417,123,4,2,119.0,4.0,0.0,0.0,0.0,False
baseline_on_shared_skeleton,6,13,10,3,0.6785782587596669,0.652730921234409,0.896774193548387,0.5142857142857142,0.7692307692307692,7,4,0.9802867383494978,0.9733096085391935,0.9767857137839764,0.9546247818482467,0.998413085937439,15811,15,11,547,0.9990521925944017,0.9993047655163064,0.9991784625939713,0.998413085937439,0.9983582749257436,1383,562,22,20,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,6,13,10,3,0.6552925444739528,0.632730921234409,0.896774193548387,0.4571428571428572,0.7692307692307692,7,4,0.9802867383494978,0.9733096085391935,0.9767857137839764,0.9546247818482467,0.998413085937439,15811,15,11,547,0.9990521925944017,0.9993047655163064,0.9991784625939713,0.998413085937439,0.9983582749257436,1383,562,22,20,510.0,16.0,0.0,12.0,24.0,False
baseline_on_shared_skeleton,7,19,22,3,0.5644496517899985,0.5980318017832968,0.8900966183574879,0.12380952380952379,0.8636363636363636,21,13,0.7503526093078274,0.72086720867111,0.7353144431757566,0.5814207650266869,0.9766235351561904,15469,206,177,532,0.9868580542264123,0.9886872043972268,0.9877717820100742,0.9766235351561904,0.9758390108503043,1760,738,41,43,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,7,19,33,14,0.6395441640861721,0.7489030304939661,0.9033816425120773,0.2571428571428571,0.5757575757575757,21,35,0.8328767123276262,0.8238482384812685,0.8283378741582867,0.7069767441852245,0.9846191406249398,15524,130,122,608,0.9916954133128278,0.9922024798669953,0.9919488812890739,0.9846191406249398,0.9840263691682946,1760,738,48,50,607.0,26.0,3.0,51.0,51.0,False
baseline_on_shared_skeleton,8,17,18,1,0.6500262331270417,0.6366431032109312,0.8593508500772797,0.38888888888888884,0.9444444444444444,8,18,0.5984251968492157,0.49999999999917766,0.5448028668865508,0.37438423645274094,0.9689941406249408,15572,304,204,304,0.9808515998991572,0.9870689655171788,0.9839504607662136,0.9689941406249408,0.9684079601989447,1081,608,30,23,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,8,17,18,1,0.6841766319055179,0.6377527916445632,0.8887171561051005,0.5,0.9444444444444444,8,10,0.6015037593973656,0.5263157894728185,0.561403508273167,0.3902439024385485,0.9694824218749408,15564,288,212,320,0.9818319454957746,0.9865618661256981,0.9841912224669319,0.9694824218749408,0.9688745019919716,1081,608,31,24,400.0,28.0,6.0,102.0,72.0,False
baseline_on_shared_skeleton,9,9,9,0,0.7866984150241031,0.8311912830261454,0.9383116883116883,0.5,1.0,2,1,0.8028673835096671,0.7999999999971429,0.8014311265096565,0.6686567164159145,0.9932250976561894,16049,56,55,224,0.9965228190002485,0.99658469945349,0.9965537577662611,0.9932250976561894,0.9931311881187505,679,280,18,11,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,9,9,9,0,0.7952531710788592,0.8487588505937129,0.9415584415584416,0.5,1.0,2,1,0.799283154118999,0.7964285714257271,0.7978533089783634,0.663690476188501,0.9931030273436894,16048,57,56,223,0.9964607264823969,0.9965226030799182,0.9964916633206092,0.9931030273436894,0.993007858424541,679,280,18,11,254.0,16.0,2.0,6.0,2.0,False
baseline_on_shared_skeleton,10,14,18,4,0.6290350270093872,0.6963768957109818,0.9572953736654805,0.1857142857142857,0.7777777777777778,9,14,0.7715355805228997,0.7629629629615501,0.7672253253831306,0.6223564954673378,0.9847412109374398,15722,128,122,412,0.9919242902207576,0.9922999242614875,0.9921120711854299,0.9847412109374398,0.9843476083144888,1267,540,33,30,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,10,14,20,6,0.6515740845728798,0.768909195452584,0.9590747330960854,0.175,0.7,9,16,0.8119180633131994,0.8074074074059122,0.8096564526089924,0.6801872074872384,0.9874877929686897,15743,104,101,436,0.993437243642267,0.9936253471344992,0.9935312859850592,0.9874877929686897,0.9871457236016437,1267,540,33,30,460.0,22.0,1.0,30.0,27.0,False
baseline_on_shared_skeleton,11,12,10,2,0.7207740297330066,0.6794190416446638,0.9085106382978724,0.6,0.8333333333333334,1,1,0.8310185185165949,0.8215102974809576,0.8262370535832703,0.7039215686260708,0.9907836914061895,15874,78,73,359,0.9951103309929166,0.9954223364895595,0.9952663087886301,0.9907836914061895,0.9905772230888618,855,437,23,16,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,11,12,10,2,0.7228266613119539,0.6839804451534357,0.9085106382978724,0.6,0.8333333333333334,1,1,0.8310185185165949,0.8215102974809576,0.8262370535832703,0.7039215686260708,0.9907836914061895,15874,78,73,359,0.9951103309929166,0.9954223364895595,0.9952663087886301,0.9907836914061895,0.9905772230888618,855,437,23,16,392.0,18.0,0.0,19.0,8.0,False
baseline_on_shared_skeleton,12,14,21,7,0.6891092122171495,0.7802101434507959,0.9192399049881235,0.35,0.6666666666666667,13,16,0.7976190476179926,0.7872062663175102,0.7923784489076531,0.6561479869416147,0.9807128906249402,15465,163,153,603,0.9895700025594453,0.9902036112177621,0.9898867049982403,0.9807128906249402,0.9799759204105583,2128,766,33,34,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,12,14,23,9,0.6485548931332457,0.7898925979530448,0.9204275534441805,0.1925925925925926,0.6086956521739131,13,27,0.8134920634909875,0.8028720626621373,0.8081471742689991,0.6780595369342028,0.98217773437494,15477,151,141,615,0.9903378551317513,0.9909719554359718,0.9906548033148249,0.98217773437494,0.9814826558436818,2128,766,33,34,670.0,18.0,6.0,41.0,31.0,False
baseline_on_shared_skeleton,13,13,15,2,0.6605818823639449,0.645285358641069,0.9676840215439857,0.36,0.8666666666666667,7,10,0.5883495145619644,0.5826923076911872,0.5855072458756918,0.4139344262289427,0.9738159179686905,15652,217,212,303,0.9863255403616493,0.9866364094805228,0.9864809499300893,0.9738159179686905,0.9733225545674414,1338,520,30,25,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,13,13,15,2,0.8033834141127977,0.8284908371334327,0.9694793536804309,0.6,0.8666666666666667,7,10,0.8916827852980819,0.8865384615367566,0.8891031817547985,0.8003472222208328,0.9929809570311894,15808,59,56,461,0.9962815907228212,0.9964699949570728,0.9963757834336296,0.9929809570311894,0.9927777428875845,1338,520,32,27,452.0,23.0,2.0,13.0,30.0,False
baseline_on_shared_skeleton,14,8,11,3,0.5984093038732384,0.6590462033520226,0.9147869674185464,0.18461538461538465,0.7272727272727273,5,13,0.7578347578325988,0.7208672086701332,0.738888888387149,0.58590308369915,0.9885253906249396,15930,103,85,266,0.9935757500155309,0.9946924758038717,0.9941337988009865,0.9885253906249396,0.9883360218388765,1109,369,17,14,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,14,8,14,6,0.6526244795074777,0.8011259667139158,0.949874686716792,0.18,0.5714285714285714,5,10,0.934065934063368,0.9214092140896439,0.9276944060459232,0.8651399491072134,0.9967651367186892,15991,29,24,340,0.998189762796442,0.998501404932813,0.998345559044186,0.9967651367186892,0.9966965843928574,1109,369,21,19,311.0,14.0,6.0,24.0,14.0,False
baseline_on_shared_skeleton,15,20,33,13,0.5626210249605705,0.5581461142886741,0.8204225352112676,0.3470588235294117,0.6060606060606061,29,34,0.5932792584002395,0.558951965064892,0.5756042715627534,0.404104183109389,0.9539184570311917,15117,404,351,512,0.9739707493073272,0.9773079906903945,0.9756365156831003,0.9539184570311917,0.9524319556451013,2666,916,48,51,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,15,20,34,14,0.5220531785793702,0.5047699633488334,0.829225352112676,0.2809523809523809,0.5882352941176471,29,42,0.6020761245667796,0.5698689956325657,0.5855300051082458,0.4139571768434465,0.9548950195311917,15123,394,345,522,0.9746084939098424,0.9776958882854294,0.9761497493789119,0.9548950195311917,0.9534106670028398,2666,916,46,49,693.0,28.0,11.0,129.0,55.0,False
baseline_on_shared_skeleton,16,19,23,4,0.667764378847218,0.7165961228504505,0.9457900807381776,0.29411764705882354,0.8260869565217391,15,17,0.7625806451603063,0.7129071170075839,0.7369077301729644,0.583415597235357,0.9742431640624405,15371,238,184,591,0.9847523864436553,0.9881710061072975,0.9864587339371093,0.9742431640624405,0.9732793009560582,1836,829,49,46,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,16,19,24,5,0.7532435150440462,0.7707362618049164,0.9331026528258363,0.5624999999999999,0.7916666666666666,15,16,0.8635778635767521,0.809408926416394,0.8356164378556479,0.7176470588227619,0.9838867187499399,15449,158,106,671,0.9898763375407836,0.9931854709096115,0.9915281427513336,0.9838867187499399,0.9831986253420109,1836,829,52,50,571.0,29.0,6.0,158.0,65.0,False
baseline_on_shared_skeleton,17,1,1,0,0.9404761904761905,0.888888888888889,0.9523809523809523,1.0,1.0,0,0,0.999999999952381,0.999999999952381,0.9999999994523809,0.999999999952381,0.9999999999999389,16363,0,0,21,0.9999999999999388,0.9999999999999388,0.9999999994999389,0.9999999999999389,0.9999999999999388,72,21,2,1,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,17,1,1,0,0.9404761904761905,0.888888888888889,0.9523809523809523,1.0,1.0,0,0,0.999999999952381,0.999999999952381,0.9999999994523809,0.999999999952381,0.9999999999999389,16363,0,0,21,0.9999999999999388,0.9999999999999388,0.9999999994999389,0.9999999999999389,0.9999999999999388,72,21,2,1,19.0,2.0,0.0,0.0,0.0,False
baseline_on_shared_skeleton,18,13,16,3,0.6344910220735464,0.6939263711199195,0.8548707753479126,0.27999999999999997,0.8125,4,10,0.7482014388471266,0.6380368098146462,0.688741721355942,0.525252525251641,0.9827880859374399,15790,177,105,312,0.9889146364375907,0.9933941491034292,0.9911493309919998,0.9827880859374399,0.982453957192572,1193,489,25,18,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,18,13,19,6,0.5659916857832452,0.6659658131593614,0.8727634194831014,0.09333333333333332,0.6842105263157895,4,15,0.8329355608572007,0.713701431491383,0.7687224664616309,0.6243291592117632,0.9871826171874397,15825,140,70,349,0.991230817413029,0.9955960994022651,0.9934086624001284,0.9871826171874397,0.9869036482693491,1193,489,27,20,326.0,20.0,7.0,83.0,53.0,False
baseline_on_shared_skeleton,19,20,25,5,0.5483198702443233,0.5977582031208135,0.8002148227712138,0.15714285714285717,0.8,8,14,0.7706552706541728,0.7566433566422984,0.763585038313361,0.617579908675094,0.9795532226561902,15508,174,161,541,0.988904476469775,0.9897249345841477,0.9893145349214545,0.9795532226561902,0.9788550148329875,2133,715,38,31,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,19,20,28,8,0.5267402551870112,0.6053542847096487,0.8045112781954887,0.088,0.7142857142857143,8,25,0.7716312056726644,0.7608391608380968,0.7661971825975372,0.6210045662093368,0.9797363281249402,15508,171,161,544,0.9890936921996946,0.9897249345841477,0.9894092122088817,0.9797363281249402,0.9790404040403422,2133,715,39,32,632.0,25.0,6.0,41.0,11.0,False
baseline_on_shared_skeleton,20,14,21,7,0.5337100039217434,0.5423798236060393,0.9005763688760807,0.17142857142857146,0.6666666666666667,11,14,0.7018739352628588,0.6427457098273904,0.6710097714868447,0.504901960783695,0.9753417968749405,15568,229,175,412,0.9855035766284114,0.9888839484214579,0.9871908682380492,0.9753417968749405,0.9747057350362525,1722,641,34,34,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,20,14,24,10,0.5620160412700647,0.6342164563179363,0.9164265129682997,0.13999999999999999,0.5833333333333333,11,20,0.7755443886084162,0.7223088923545674,0.7479806133927996,0.5974193548379388,0.98095703124994,15609,178,134,463,0.9887249002343074,0.9914882805055585,0.9901046617263891,0.98095703124994,0.980403241002388,1722,641,34,34,472.0,19.0,4.0,89.0,57.0,False
