method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,Baseline on shared skeleton,0,16,36,20,0.5046105329600394,0.5206327337670622,0.895364238410596,0.18723404255319143,0.4444444444444444,17,47,0.5672609400314955,0.5079825834535443,0.5359877483521537,0.36610878661049573,0.9630126953124412,350,267,339,15428,0.5672609400314955,0.5079825834535443,0.5359877483521537,0.9630126953124412,0.36610878661049573,1878,689,37,48,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,0,16,42,26,0.5031378181141452,0.5407985712463325,0.9125827814569536,0.15666666666666665,0.38095238095238093,17,60,0.6009389671352098,0.5573294629890314,0.5783132525118859,0.40677966101651825,0.965820312499941,384,255,305,15440,0.6009389671352098,0.5573294629890314,0.5783132525118859,0.965820312499941,0.40677966101651825,1878,689,41,52,472.0,11.0,29.0,113.0,64.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,0,16,14,2,0.31470400769887896,0.15279633620137836,0.6304635761589403,0.12941176470588237,0.875,17,17,0.08101851851833097,0.05079825834535443,0.062444245734910774,0.03222836095761305,0.9358520507811928,35,397,654,15298,0.08101851851833097,0.05079825834535443,0.062444245734910774,0.9358520507811928,0.03222836095761305,1878,689,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,0,16,17,1,0.4029061171386284,0.25420075548185,0.7072847682119205,0.2117647058823529,0.9411764705882353,17,14,0.15698924731149036,0.10595065312031067,0.1265164639900234,0.06753006475479414,0.9384765624999427,73,392,616,15303,0.15698924731149036,0.10595065312031067,0.1265164639900234,0.9384765624999427,0.06753006475479414,1878,689,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,1,20,26,6,0.5958806813680781,0.6291194192990964,0.8156329651656754,0.2909090909090909,0.7692307692307692,22,17,0.7009750812560119,0.6642710472272441,0.6821296779392837,0.517599999999586,0.9631958007811912,647,276,327,15134,0.7009750812560119,0.6642710472272441,0.6821296779392837,0.9631958007811912,0.517599999999586,2742,974,53,57,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,1,20,28,8,0.6176354799348557,0.6634900997109349,0.8181818181818181,0.33599999999999997,0.7142857142857143,22,25,0.7982740021566361,0.7597535934283781,0.7785376112827584,0.6373815676135768,0.9743041992186905,740,187,234,15223,0.7982740021566361,0.7597535934283781,0.7785376112827584,0.9743041992186905,0.6373815676135768,2742,974,53,57,780.0,21.0,7.0,87.0,79.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,1,20,20,0,0.41844703687555007,0.3156087272774897,0.7230246389124894,0.12727272727272726,1.0,22,20,0.12247474747459283,0.09958932238182794,0.10985277413712263,0.058118633912487644,0.9040527343749448,97,695,877,14715,0.12247474747459283,0.09958932238182794,0.10985277413712263,0.9040527343749448,0.058118633912487644,2742,974,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,1,20,20,0,0.3871322892288932,0.24290513437629999,0.7527612574341547,0.10909090909090909,1.0,22,18,0.06746987951799101,0.0574948665297151,0.06208425670932543,0.03203661327229289,0.8967285156249453,56,774,918,14636,0.06746987951799101,0.0574948665297151,0.06208425670932543,0.8967285156249453,0.03203661327229289,2742,974,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,2,14,17,3,0.6140536270516092,0.6418333114273334,0.8734693877551021,0.2727272727272727,0.8235294117647058,10,11,0.5887096774184053,0.5757097791789026,0.5821371605836633,0.4105736782897519,0.9680175781249409,365,255,269,15495,0.5887096774184053,0.5757097791789026,0.5821371605836633,0.9680175781249409,0.4105736782897519,1340,634,29,27,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,2,14,25,11,0.564105144855145,0.6777997927997929,0.819047619047619,0.15714285714285717,0.56,10,28,0.6512027491397746,0.5977917981063127,0.6233552626577838,0.4528076463554925,0.9720458984374406,379,203,255,15547,0.6512027491397746,0.5977917981063127,0.6233552626577838,0.9720458984374406,0.4528076463554925,1340,634,32,30,545.0,19.0,0.0,39.0,31.0,False
