sample,same_vector_count,exactly_same_vectors
0,False,False
1,False,False
2,False,False
3,True,False
4,True,True
5,False,False
6,False,False
7,True,False
8,True,True
9,False,False
10,True,False
11,False,False
12,False,False
13,True,False
14,True,True
15,False,False
16,True,False
17,True,False
18,True,False
19,False,False
20,False,False
21,True,True
22,False,False
23,True,False
24,False,False
25,False,False
26,False,False
27,True,False
28,False,False
29,False,False
30,True,True
31,False,False
32,True,True
33,False,False
34,False,False
35,False,False
36,False,False
37,True,False
38,False,False
39,False,False
40,True,True
41,False,False
42,False,False
43,True,False
44,False,False
45,False,False
46,True,True
47,True,True
48,True,False
49,True,True
50,True,False
51,True,False
52,False,False
53,False,False
54,True,True
55,True,False
56,False,False
57,False,False
58,False,False
59,True,True
60,True,True
61,True,False
62,True,True
63,False,False
64,False,False
65,True,True
66,False,False
67,False,False
68,True,False
69,True,True
70,True,False
71,False,False
72,True,False
73,False,False
74,False,False
75,False,False
76,True,False
77,False,False
78,False,False
79,False,False
80,True,False
81,False,False
82,False,False
83,True,False
84,False,False
85,False,False
86,True,True
87,False,False
88,False,False
89,True,True
90,True,True
91,True,True
92,False,False
93,False,False
94,False,False
95,False,False
96,True,False
97,True,False
98,True,False
99,True,False
100,True,False
101,True,True
102,False,False
103,True,False
104,False,False
105,False,False
106,False,False
107,True,True
108,True,False
109,False,False
110,False,False
111,False,False
112,True,True
113,False,False
114,False,False
115,False,False
116,False,False
117,False,False
118,True,False
119,True,False
120,True,False
121,True,False
122,False,False
123,False,False
124,False,False
125,True,True
126,True,False
127,False,False
128,False,False
129,True,True
130,False,False
131,False,False
132,False,False
133,True,False
134,True,False
135,True,False
136,False,False
137,False,False
138,True,False
139,True,True
140,False,False
141,False,False
142,False,False
143,True,False
144,False,False
145,False,False
146,False,False
147,False,False
148,False,False
149,True,True
150,True,False
151,False,False
152,False,False
153,False,False
154,True,True
155,True,True
156,True,False
157,True,False
158,False,False
159,False,False
160,False,False
161,False,False
162,False,False
163,True,False
164,True,False
165,False,False
166,False,False
167,False,False
168,True,True
169,True,True
170,False,False
171,False,False
172,False,False
173,True,True
174,False,False
175,True,True
176,True,False
177,True,True
178,True,False
179,True,False
180,False,False
181,False,False
182,False,False
183,False,False
184,False,False
185,True,False
186,False,False
187,True,False
188,True,True
189,False,False
190,True,False
191,False,False
192,True,False
193,False,False
194,False,False
195,True,False
196,True,False
197,False,False
198,False,False
199,False,False
200,True,False
201,True,False
202,False,False
203,True,False
204,True,True
205,True,False
206,False,False
207,True,True
208,True,False
209,True,False
210,True,True
211,False,False
212,True,True
213,False,False
214,False,False
215,True,False
216,False,False
217,False,False
218,True,False
219,True,False
220,False,False
221,False,False
222,False,False
223,False,False
224,False,False
225,True,False
226,True,False
227,False,False
228,True,True
229,False,False
230,False,False
231,False,False
232,True,True
233,True,False
234,False,False
235,False,False
236,False,False
237,True,True
238,False,False
239,False,False
240,True,False
241,False,False
242,False,False
243,False,False
244,True,True
245,True,False
246,True,False
247,True,False
248,False,False
249,True,False
250,False,False
251,False,False
252,False,False
253,False,False
254,False,False
255,False,False
256,True,False
257,True,True
258,False,False
259,False,False
260,False,False
261,False,False
262,False,False
263,False,False
264,False,False
265,True,False
266,True,False
267,False,False
268,False,False
269,True,False
270,True,False
271,True,True
272,True,False
273,True,True
274,True,True
275,False,False
276,False,False
277,True,True
278,True,False
279,False,False
280,True,True
281,False,False
282,True,False
283,False,False
284,False,False
285,False,False
286,True,False
287,False,False
288,True,False
289,False,False
290,False,False
291,False,False
292,False,False
293,True,False
294,True,True
295,True,False
296,True,False
297,False,False
298,True,False
299,True,True
300,False,False
301,True,True
302,False,False
303,False,False
304,True,True
305,True,False
306,False,False
307,True,False
308,True,True
309,True,False
310,True,True
311,True,True
312,False,False
313,True,False
314,False,False
315,False,False
316,False,False
317,False,False
318,False,False
319,True,False
320,False,False
321,True,True
322,True,False
323,True,False
324,True,False
325,False,False
326,True,False
327,False,False
328,False,False
329,False,False
330,True,False
331,True,False
332,False,False
333,True,False
334,True,False
335,False,False
336,False,False
337,False,False
338,True,False
339,False,False
340,False,False
341,True,True
342,True,False
343,False,False
344,False,False
345,False,False
346,False,False
347,True,False
348,True,False
349,False,False
350,True,False
351,False,False
352,False,False
353,True,False
354,False,False
355,False,False
356,True,False
357,False,False
358,False,False
359,True,False
360,True,False
361,False,False
362,False,False
363,True,False
364,False,False
365,False,False
366,True,False
367,False,False
368,True,False
369,False,False
370,True,False
371,True,False
372,True,False
373,True,True
374,True,False
375,True,False
376,False,False
377,False,False
378,False,False
379,False,False
380,False,False
381,True,False
382,False,False
383,True,False
384,False,False
385,False,False
386,False,False
387,True,False
388,True,False
389,False,False
390,True,False
391,False,False
392,True,True
393,False,False
394,False,False
395,True,False
396,False,False
397,True,True
398,True,False
399,True,False
400,False,False
401,True,False
402,False,False
403,False,False
404,False,False
405,False,False
406,True,True
407,True,False
408,True,False
409,False,False
410,False,False
411,False,False
412,True,False
413,True,True
414,False,False
415,False,False
416,True,True
417,False,False
418,False,False
419,False,False
420,False,False
421,True,False
422,False,False
423,True,False
424,True,False
425,False,False
426,False,False
427,True,False
428,True,True
429,True,True
430,False,False
431,False,False
432,True,True
433,False,False
434,True,False
