method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,Baseline on shared skeleton,0,20,29,9,0.6909522394456192,0.7459479150587387,0.9315508021390374,0.4,0.6896551724137931,20,29,0.8112305854231646,0.801652892561037,0.8064133011617677,0.6756218905465914,0.9801025390624402,679,158,168,15379,0.8112305854231646,0.801652892561037,0.8064133011617677,0.9801025390624402,0.6756218905465914,2012,847,54,56,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,0,20,34,14,0.6763394622435498,0.756901452374588,0.9401069518716577,0.3555555555555555,0.5882352941176471,20,36,0.7914691943118585,0.7886658795740393,0.7900650497651819,0.6529814271743373,0.9783325195311903,668,176,179,15361,0.7914691943118585,0.7886658795740393,0.7900650497651819,0.9783325195311903,0.6529814271743373,2012,847,57,60,680.0,32.0,5.0,55.0,75.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,0,20,16,4,0.33144042209004304,0.18267212039023223,0.7336898395721925,0.09,0.8,20,14,0.11234177215172098,0.0838252656433485,0.09601081763078775,0.05042613636360055,0.9183959960936939,71,561,776,14976,0.11234177215172098,0.0838252656433485,0.09601081763078775,0.9183959960936939,0.05042613636360055,2012,847,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,0,20,20,0,0.41602647769484347,0.246725505988541,0.8,0.18,1.0,20,15,0.0828488372091819,0.0672963400235333,0.07426710048246667,0.03856562922866132,0.9132690429686943,57,631,790,14906,0.0828488372091819,0.0672963400235333,0.07426710048246667,0.9132690429686943,0.03856562922866132,2012,847,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,1,10,11,1,0.5660946382778347,0.4973885472482948,0.8505535055350554,0.325,0.9090909090909091,7,8,0.605140186914474,0.5407098121074306,0.5711135606910602,0.3996913580240746,0.9762573242186904,259,169,220,15736,0.605140186914474,0.5407098121074306,0.5711135606910602,0.9762573242186904,0.3996913580240746,1339,479,22,20,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,1,10,10,0,0.4699526207755461,0.407954222001067,0.8247232472324724,0.08571428571428572,1.0,7,4,0.6206088992959705,0.5532359081408075,0.584988961972762,0.4134165366608215,0.9770507812499404,265,162,214,15743,0.6206088992959705,0.5532359081408075,0.584988961972762,0.9770507812499404,0.4134165366608215,1339,479,26,24,319.0,14.0,5.0,106.0,35.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,1,10,13,3,0.433668257326929,0.25413882413882416,0.9261992619926199,0.2285714285714286,0.7692307692307692,7,6,0.0315126050419506,0.03131524008344193,0.03141361206538418,0.01595744680849366,0.9435424804686924,15,461,464,15444,0.0315126050419506,0.03131524008344193,0.03141361206538418,0.9435424804686924,0.01595744680849366,1339,479,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,1,10,11,1,0.33771616385703995,0.17500499898349364,0.6974169741697417,0.1142857142857143,0.9090909090909091,7,3,0.03333333333324074,0.025052192066753545,0.028605482227511338,0.0145102781136463,0.9502563476561919,12,348,467,15557,0.03333333333324074,0.025052192066753545,0.028605482227511338,0.9502563476561919,0.0145102781136463,1339,479,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,2,3,2,1,0.7031572327044024,0.5066666666666666,0.7924528301886793,1.0,0.6666666666666667,0,0,0.8984374999929811,0.8984374999929811,0.898437499492981,0.8156028368736483,0.998413085937439,115,13,13,16243,0.8984374999929811,0.8984374999929811,0.898437499492981,0.998413085937439,0.8156028368736483,387,128,4,2,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,2,3,2,1,0.7031572327044024,0.5066666666666666,0.7924528301886793,1.0,0.6666666666666667,0,0,0.8984374999929811,0.8984374999929811,0.898437499492981,0.8156028368736483,0.998413085937439,115,13,13,16243,0.8984374999929811,0.8984374999929811,0.898437499492981,0.998413085937439,0.8156028368736483,387,128,4,2,124.0,4.0,0.0,0.0,0.0,False
