sample,same_vector_count,exactly_same_vectors
0,False,False
1,False,False
2,True,True
3,False,False
4,True,False
5,True,True
6,False,False
7,True,False
8,True,False
9,True,False
10,True,True
11,True,False
12,False,False
13,False,False
14,False,False
15,False,False
16,False,False
17,False,False
18,False,False
19,True,False
20,True,False
21,True,True
22,False,False
23,True,True
24,True,False
25,True,True
26,True,False
27,False,False
28,False,False
29,True,True
30,False,False
31,False,False
32,True,True
33,False,False
34,True,False
35,False,False
36,False,False
37,True,False
38,False,False
39,False,False
40,False,False
41,True,False
42,True,True
43,False,False
44,True,False
45,True,False
46,False,False
47,False,False
48,True,True
49,True,True
50,False,False
51,False,False
52,True,True
53,True,False
54,False,False
55,True,True
56,False,False
57,False,False
58,True,False
59,False,False
60,False,False
61,False,False
62,False,False
63,True,False
64,True,False
65,False,False
66,True,False
67,False,False
68,False,False
69,False,False
70,True,False
71,True,True
72,True,False
73,False,False
74,False,False
75,False,False
76,True,False
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,True,False
83,False,False
84,True,False
85,False,False
86,True,True
87,False,False
88,True,True
89,False,False
90,False,False
91,False,False
92,False,False
93,True,False
94,False,False
95,False,False
96,False,False
97,False,False
98,True,True
99,False,False
100,False,False
101,False,False
102,False,False
103,False,False
104,False,False
105,True,False
106,True,True
107,False,False
108,False,False
109,True,True
110,False,False
111,False,False
112,True,False
113,False,False
114,True,False
115,True,True
116,True,False
117,True,False
118,True,False
119,True,False
120,True,True
121,True,False
122,False,False
123,True,False
124,False,False
125,True,True
126,True,False
127,True,True
128,False,False
129,True,False
130,True,True
131,False,False
132,True,False
133,True,True
134,True,False
135,True,False
136,False,False
137,False,False
138,False,False
139,False,False
140,False,False
141,False,False
142,False,False
143,True,True
144,False,False
145,False,False
146,False,False
147,False,False
148,False,False
149,False,False
150,True,True
151,True,True
152,True,False
153,False,False
154,True,True
155,False,False
156,True,False
157,False,False
158,False,False
159,True,False
160,True,False
161,True,False
162,False,False
163,True,True
164,False,False
165,True,False
166,False,False
167,True,False
168,True,False
169,False,False
170,False,False
171,False,False
172,False,False
173,True,False
174,False,False
175,True,True
176,False,False
177,False,False
178,False,False
179,False,False
180,True,True
181,False,False
182,True,True
183,True,False
184,True,False
185,True,False
186,True,False
187,False,False
188,False,False
189,True,False
190,True,False
191,False,False
192,False,False
193,False,False
194,False,False
195,True,False
196,False,False
197,True,False
198,False,False
199,False,False
200,True,False
201,False,False
202,True,False
203,True,True
204,True,False
205,True,True
206,True,False
207,True,False
208,False,False
209,False,False
210,False,False
211,False,False
212,False,False
213,True,True
214,False,False
215,False,False
216,True,True
217,False,False
218,True,False
219,True,False
220,True,True
221,False,False
222,True,True
223,False,False
224,True,False
225,False,False
226,False,False
227,True,False
228,False,False
229,True,True
230,True,False
231,True,True
232,True,False
233,False,False
234,False,False
235,True,False
236,False,False
237,False,False
238,True,True
239,False,False
240,True,False
241,True,False
242,True,False
243,True,False
244,False,False
245,False,False
246,False,False
247,True,False
248,True,True
249,False,False
250,True,True
251,True,True
252,False,False
253,True,False
254,False,False
255,True,False
256,False,False
257,False,False
258,False,False
259,True,False
260,False,False
261,False,False
262,True,False
263,False,False
264,True,True
265,True,False
266,True,False
267,False,False
268,True,False
269,True,False
270,True,False
271,True,False
272,True,False
273,False,False
274,False,False
275,False,False
276,False,False
277,False,False
278,False,False
279,True,False
280,False,False
281,True,False
282,True,False
283,False,False
284,True,False
285,False,False
286,True,True
287,True,False
288,False,False
289,False,False
290,True,True
291,True,True
292,True,False
293,False,False
294,True,False
295,False,False
296,False,False
297,True,True
298,True,False
299,False,False
300,False,False
301,False,False
302,False,False
303,False,False
304,False,False
305,False,False
306,False,False
307,True,True
308,False,False
309,True,False
310,False,False
311,True,False
312,False,False
313,False,False
314,False,False
315,True,False
316,True,False
317,True,True
318,False,False
319,True,True
320,True,False
321,True,True
322,True,True
323,False,False
324,False,False
325,False,False
326,False,False
327,True,True
328,False,False
329,True,False
330,False,False
331,True,True
332,False,False
333,False,False
334,False,False
335,False,False
336,False,False
337,True,False
338,True,True
339,True,True
340,True,False
341,False,False
342,False,False
343,False,False
344,False,False
345,False,False
346,False,False
347,True,True
348,False,False
349,True,False
350,False,False
351,False,False
352,False,False
353,True,False
354,False,False
355,False,False
356,True,False
357,True,False
358,True,True
359,False,False
360,True,False
361,False,False
362,False,False
363,True,True
364,True,True
365,False,False
366,True,False
367,False,False
368,False,False
369,False,False
370,True,False
371,True,True
372,False,False
373,True,False
374,True,True
375,False,False
376,True,True
377,True,False
378,False,False
379,False,False
380,False,False
381,False,False
382,False,False
383,True,False
384,False,False
385,False,False
386,False,False
387,True,False
388,False,False
389,False,False
390,True,False
391,False,False
392,False,False
393,True,False
394,False,False
395,False,False
396,False,False
397,False,False
398,False,False
399,False,False
400,False,False
401,True,False
402,True,False
403,False,False
404,True,True
405,True,False
406,True,True
407,True,False
408,False,False
409,False,False
410,False,False
411,True,False
412,False,False
413,False,False
414,False,False
415,False,False
416,True,True
417,True,False
418,True,True
419,False,False
420,False,False
421,True,False
422,False,False
423,True,False
424,False,False
425,True,True
426,False,False
427,True,False
428,False,False
429,False,False
430,False,False
431,False,False
432,True,True
433,True,False
434,False,False
