sample,method,ml_threshold,true_vectors,pred_segments,pred_polylines,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,time_ms
0,Baseline junction graph,,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999903846,0.9999999999903846,0.9999999994903845,0.9999999999903846,0.9999999999999389,3.3620999893173575
0,MLP junction cleanup 0.95,0.95,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999903846,0.9999999999903846,0.9999999994903845,0.9999999999903846,0.9999999999999389,3.0734999891137704
0,CNN junction cleanup 0.95,0.95,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999903846,0.9999999999903846,0.9999999994903845,0.9999999999903846,0.9999999999999389,6.599400003324263
0,Hough Transform,,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999903846,0.9999999999903846,0.9999999994903845,0.9999999999903846,0.9999999999999389,1.7103999998653308
0,Contour,,1,2,1,1,0.8388442867811801,0.977346278317152,0.4951923076923077,1.0,0.5,0,0,0.9904761904667574,0.9999999999903846,0.9952153104952726,0.9904761904667574,0.9999389648436889,2.9463999962899834
0,Skeletonisation,,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999903846,0.9999999999903846,0.9999999994903845,0.9999999999903846,0.9999999999999389,0.949399996898137
0,Run-graph,,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999903846,0.9999999999903846,0.9999999994903845,0.9999999999903846,0.9999999999999389,6.015899998601526
0,Sparse pixel,,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999903846,0.9999999999903846,0.9999999994903845,0.9999999999903846,0.9999999999999389,0.934299998334609
0,Mesh pattern,,1,7,7,6,0.7470769764216367,0.65,0.9514563106796117,1.0,0.1428571428571429,0,0,0.9793814432888723,0.9134615384527551,0.9452736313319966,0.8962264150858846,0.9993286132811889,1.0492000001249835
1,Baseline junction graph,,16,18,18,2,0.720825026365801,0.6500090360164988,0.9721603563474388,0.5799999999999998,0.8888888888888888,18,20,0.7174151150046907,0.8106435643554324,0.7611853568513544,0.614446529080099,0.9749145507811905,15.542799999821
1,MLP junction cleanup 0.95,0.95,16,20,20,4,0.57388075771704,0.5816063911213166,0.8552338530066815,0.24444444444444446,0.8,18,16,0.5233415233408805,0.5272277227716248,0.525277434764464,0.35618729096960183,0.9530029296874418,21.616899990476668
1,CNN junction cleanup 0.95,0.95,16,21,21,5,0.5972303030754109,0.561479249053876,0.8418708240534521,0.39999999999999997,0.7619047619047619,18,17,0.5224999999993469,0.5173267326726271,0.5199004970118035,0.3512605042013855,0.9528808593749418,28.312099995673634
