method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,junction_nodes,traced_paths
baseline_original_unchanged,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999885058,0.9999999999885058,0.9999999994885058,0.9999999999885058,0.9999999999999389,2,1
skeleton_junction_fix,0,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999885058,0.9999999999885058,0.9999999994885058,0.9999999999885058,0.9999999999999389,2,1
baseline_original_unchanged,1,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999906541,0.9999999999906541,0.9999999994906541,0.9999999999906541,0.9999999999999389,4,2
skeleton_junction_fix,1,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999906541,0.9999999999906541,0.9999999994906541,0.9999999999906541,0.9999999999999389,4,2
baseline_original_unchanged,2,3,3,0,0.9876247683939992,0.9769888231426693,0.98989898989899,1.0,1.0,0,0,0.9999999999894736,0.9999999999894736,0.9999999994894737,0.9999999999894736,0.9999999999999389,6,4
skeleton_junction_fix,2,3,3,0,0.9876247683939992,0.9769888231426693,0.98989898989899,1.0,1.0,0,0,0.9999999999894736,0.9999999999894736,0.9999999994894737,0.9999999999894736,0.9999999999999389,6,4
baseline_original_unchanged,3,5,5,0,0.998611225866865,0.9984255510571299,0.9965986394557823,1.0,1.0,0,0,0.9999999999963637,0.9999999999963637,0.9999999994963638,0.9999999999963637,0.9999999999999389,10,5
skeleton_junction_fix,3,5,5,0,0.998611225866865,0.9984255510571299,0.9965986394557823,1.0,1.0,0,0,0.9999999999963637,0.9999999999963637,0.9999999994963638,0.9999999999963637,0.9999999999999389,10,5
baseline_original_unchanged,4,5,5,0,0.9804999999999999,0.9566666666666666,1.0,1.0,1.0,2,2,0.9723756906023626,0.9723756906023626,0.9723756901023626,0.9462365591346977,0.9993896484374389,12,9
skeleton_junction_fix,4,5,5,0,0.9804999999999999,0.9566666666666666,1.0,1.0,1.0,2,2,0.9723756906023626,0.9723756906023626,0.9723756901023626,0.9462365591346977,0.9993896484374389,12,9
baseline_original_unchanged,5,2,2,0,0.9797780630961116,0.9550623624358034,1.0,1.0,1.0,0,0,0.9999999999892473,0.9999999999892473,0.9999999994892472,0.9999999999892473,0.9999999999999389,4,2
skeleton_junction_fix,5,2,2,0,0.9797780630961116,0.9550623624358034,1.0,1.0,1.0,0,0,0.9999999999892473,0.9999999999892473,0.9999999994892472,0.9999999999892473,0.9999999999999389,4,2
baseline_original_unchanged,6,5,7,2,0.5596473541707305,0.5809370988446727,0.9554140127388535,0.14285714285714285,0.7142857142857143,5,7,0.6902985074601109,0.6357388316129357,0.6618962427900705,0.4946524064157897,0.9884643554686896,10,10
skeleton_junction_fix,6,5,7,2,0.5596473541707305,0.5809370988446727,0.9554140127388535,0.14285714285714285,0.7142857142857143,5,7,0.6902985074601109,0.6357388316129357,0.6618962427900705,0.4946524064157897,0.9884643554686896,10,10
baseline_original_unchanged,7,5,4,1,0.9434632157033331,0.9713207547169811,0.8818443804034583,1.0,0.8,0,0,0.7128027681636235,0.6223564954663977,0.6645161285324089,0.49758454106160005,0.9873046874999397,10,5
skeleton_junction_fix,7,5,4,1,0.9434632157033331,0.9713207547169811,0.8818443804034583,1.0,0.8,0,0,0.7128027681636235,0.6223564954663977,0.6645161285324089,0.49758454106160005,0.9873046874999397,10,5
baseline_original_unchanged,8,5,5,0,0.9066666666666666,0.9037037037037037,1.0,0.8,1.0,1,1,0.9563318777250815,0.9563318777250815,0.9563318772250815,0.9163179916279652,0.998779296874939,11,8
skeleton_junction_fix,8,5,5,0,0.9066666666666666,0.9037037037037037,1.0,0.8,1.0,1,1,0.9563318777250815,0.9563318777250815,0.9563318772250815,0.9163179916279652,0.998779296874939,11,8
baseline_original_unchanged,9,4,4,0,0.7332058050432148,0.9660852713178294,0.9923371647509579,0.0,1.0,1,0,0.9999999999961241,0.9961389961351501,0.9980657635193518,0.9961389961351501,0.9999389648436889,8,5
skeleton_junction_fix,9,4,5,1,0.7721652957839555,0.9489582137046607,0.9923371647509579,0.26666666666666666,0.8,1,3,0.8793774319031932,0.8725868725835035,0.8759689917446742,0.7793103448248989,0.9960937499999392,8,5
baseline_original_unchanged,10,2,2,0,0.9766,0.9480000000000001,1.0,1.0,1.0,0,0,0.999999999988764,0.999999999988764,0.9999999994887641,0.999999999988764,0.9999999999999389,4,2
skeleton_junction_fix,10,2,2,0,0.9766,0.9480000000000001,1.0,1.0,1.0,0,0,0.999999999988764,0.999999999988764,0.9999999994887641,0.999999999988764,0.9999999999999389,4,2
baseline_original_unchanged,11,3,3,0,1.0,1.0,1.0,1.0,1.0,2,2,0.9999999999967638,0.9999999999967638,0.9999999994967639,0.9999999999967638,0.9999999999999389,8,7
skeleton_junction_fix,11,3,3,0,1.0,1.0,1.0,1.0,1.0,2,2,0.9999999999967638,0.9999999999967638,0.9999999994967639,0.9999999999967638,0.9999999999999389,8,7
baseline_original_unchanged,12,3,3,0,0.9760894557823129,0.9498888888888889,0.9931972789115646,1.0,1.0,0,0,0.9999999999919355,0.9999999999919355,0.9999999994919355,0.9999999999919355,0.9999999999999389,6,3
skeleton_junction_fix,12,3,3,0,0.9760894557823129,0.9498888888888889,0.9931972789115646,1.0,1.0,0,0,0.9999999999919355,0.9999999999919355,0.9999999994919355,0.9999999999919355,0.9999999999999389,6,3
baseline_original_unchanged,13,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999945947,0.9999999999945947,0.9999999994945947,0.9999999999945947,0.9999999999999389,4,2
skeleton_junction_fix,13,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999945947,0.9999999999945947,0.9999999994945947,0.9999999999945947,0.9999999999999389,4,2
baseline_original_unchanged,14,5,5,0,0.9571,0.9046666666666667,1.0,1.0,1.0,0,0,0.9914163090086205,0.9914163090086205,0.9914163085086205,0.9829787234000725,0.9997558593749389,10,5
